,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Receiving,Receiving,Receiving,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
477,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,32,1987,32.7,709,28,37,290,412,182,648,24,43,55.8,27,1,389,3126,1953,1183,485,41.0,56,22,Matches
478,Indiana Vassilev\Indiana-Vassilev,us USA,FWMF,Aston Villa,18,2001,0.6,16,0,0,3,14,3,15,1,2,50.0,2,0,15,79,20,31,10,32.3,1,1,Matches
479,Jan Vertonghen\Jan-Vertonghen,be BEL,DF,Tottenham,32,1987,18.3,1327,165,620,689,84,6,1227,2,5,40.0,2,0,785,4062,2044,833,819,98.3,4,6,Matches
480,Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,Southampton,26,1992,15.6,933,116,435,504,43,12,889,3,5,60.0,3,0,462,2300,1251,504,492,97.6,2,3,Matches
481,Rúben Vinagre\Ruben-Vinagre,pt POR,DF,Wolves,20,1999,6.9,453,16,134,207,142,16,386,18,40,45.0,21,2,307,2267,1560,297,253,85.2,9,15,Matches
482,Jake Vokins\Jake-Vokins,eng ENG,DF,Southampton,19,2000,1.0,82,1,11,44,33,5,70,0,0,,0,0,56,310,150,63,58,92.1,1,2,Matches
483,Mario Vrančić\Mario-Vrancic,ba BIH,MF,Norwich City,30,1989,6.9,519,12,124,305,118,11,508,3,5,60.0,3,1,327,1859,1135,387,356,92.0,4,11,Matches
484,Matěj Vydra\Matej-Vydra,cz CZE,FW,Burnley,27,1992,9.0,236,10,19,93,136,36,233,7,17,41.2,9,1,115,744,464,408,162,39.7,21,9,Matches
485,Theo Walcott\Theo-Walcott,eng ENG,MFFW,Everton,30,1989,13.7,539,8,71,208,291,69,529,20,34,58.8,23,2,389,2287,1362,536,374,69.8,26,28,Matches
486,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,29,1990,25.6,2246,64,463,1402,562,33,2033,22,29,75.9,24,2,1547,9535,5320,1694,1621,95.7,13,18,Matches
