,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1116,Will Hughes\Will-Hughes,eng ENG,MFFW,Watford,eng Premier League,24,1995,25.0,80,49,30,37,13,27,86,31.4,59,678,182,26.8,199,334,145,65,9,0,56,35,115,29,0,Matches
1117,Mats Hummels\Mats-Hummels,de GER,DF,Dortmund,de Bundesliga,30,1988,28.7,68,47,39,26,3,19,44,43.2,25,289,125,43.3,171,109,9,56,20,0,36,60,128,177,1,Matches
1118,Uwe Hünemeier\Uwe-Hunemeier,de GER,DF,Paderborn 07,de Bundesliga,33,1986,13.4,24,19,15,7,2,12,27,44.4,15,129,53,41.1,90,39,0,34,14,1,20,26,50,90,0,Matches
1119,Adrien Hunou\Adrien-Hunou,fr FRA,FWMF,Rennes,fr Ligue 1,25,1994,13.4,23,16,4,12,7,5,26,19.2,21,322,95,29.5,44,151,127,21,1,0,20,4,27,7,0,Matches
1120,Jannik Huth\Jannik-Huth,de GER,GK,Paderborn 07,de Bundesliga,25,1994,6.0,0,0,0,0,0,0,3,0.0,3,2,0,0.0,2,0,0,0,0,0,0,0,0,0,0,Matches
1121,Elseid Hysaj\Elseid-Hysaj,al ALB,DF,Napoli,it Serie A,25,1994,16.5,23,17,14,7,2,9,23,39.1,14,162,52,32.1,64,69,29,31,4,0,27,24,47,32,0,Matches
1122,Suk Hyun-jun\Suk-Hyun-jun,kr KOR,FWMF,Reims,fr Ligue 1,28,1991,2.9,4,4,1,2,1,1,2,50.0,1,47,21,44.7,6,16,25,4,1,0,3,1,5,2,0,Matches
1123,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,eng Premier League,23,1995,30.6,90,57,43,40,7,36,103,35.0,67,632,212,33.5,206,338,88,63,6,0,57,45,135,78,2,Matches
1124,Simone Iacoponi\Simone-Iacoponi,it ITA,DF,Parma,it Serie A,32,1987,33.9,52,32,32,17,3,26,50,52.0,24,326,114,35.0,228,84,14,59,38,0,21,35,87,170,2,Matches
1125,Iago\Iago,br BRA,DFMF,Augsburg,de Bundesliga,22,1997,7.5,14,5,7,7,0,8,18,44.4,10,169,30,17.8,62,83,24,18,1,0,17,15,29,40,0,Matches
1126,Robert Ibáñez\Robert-Ibanez,es ESP,MFFW,Osasuna,es La Liga,26,1993,6.0,12,3,5,4,3,5,11,45.5,6,86,23,26.7,24,44,18,11,0,0,11,4,16,0,0,Matches
1127,Roger Ibanez\Roger-Ibanez,br BRA,DF,Roma,it Serie A,20,1998,6.2,12,8,8,2,2,5,9,55.6,4,62,18,29.0,34,24,4,12,7,0,5,19,31,30,1,Matches
1128,Jordon Ibe\Jordon-Ibe,eng ENG,DF,Bournemouth,eng Premier League,23,1995,0.6,3,3,3,0,0,0,0,,0,11,3,27.3,5,5,1,0,0,0,0,0,3,0,0,Matches
1129,Vedad Ibišević\Vedad-Ibisevic,ba BIH,FW,Hertha BSC,de Bundesliga,34,1984,14.0,3,1,0,1,2,2,5,40.0,3,222,62,27.9,6,96,120,4,0,0,4,1,4,17,0,Matches
1130,Vicente Iborra\Vicente-Iborra,es ESP,MF,Villarreal,es La Liga,31,1988,29.4,60,41,25,31,4,28,61,45.9,33,462,117,25.3,171,254,37,51,19,0,32,44,104,84,0,Matches
1131,Didier Ibrahim Ndong\Didier-Ibrahim-Ndong,ga GAB,MF,Dijon,fr Ligue 1,25,1994,26.5,79,58,39,36,4,25,55,45.5,30,568,176,31.0,192,325,51,37,5,0,32,49,128,38,0,Matches
1132,Zlatan Ibrahimović\Zlatan-Ibrahimovic,se SWE,FW,Milan,it Serie A,37,1981,14.1,3,3,0,2,1,0,6,0.0,6,105,23,21.9,4,38,63,7,4,0,3,4,7,23,0,Matches
1133,Mauro Icardi\Mauro-Icardi,ar ARG,FW,Paris S-G,fr Ligue 1,26,1993,14.1,6,4,1,4,1,0,13,0.0,13,217,56,25.8,13,86,118,10,2,0,8,1,7,10,0,Matches
1134,Adam Idah\Adam-Idah,ie IRL,FWMF,Norwich City,eng Premier League,18,2001,2.5,4,4,2,1,1,1,3,33.3,2,36,9,25.0,9,14,13,6,0,0,6,0,4,1,0,Matches
1135,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Manchester Utd,eng Premier League,30,1989,1.1,2,2,0,2,0,1,2,50.0,1,23,5,21.7,4,6,13,2,1,0,1,0,2,0,0,Matches
1136,Borja Iglesias\Borja-Iglesias,es ESP,FW,Betis,es La Liga,26,1993,21.4,5,5,1,3,1,0,10,0.0,10,287,56,19.5,14,130,143,15,6,0,9,5,10,19,0,Matches
1137,Igor\Igor,br BRA,DF,SPAL,it Serie A,21,1998,14.9,27,17,13,12,2,8,17,47.1,9,195,48,24.6,95,80,20,34,9,0,25,25,52,57,1,Matches
1138,Igor\Igor,br BRA,DF,Fiorentina,it Serie A,21,1998,5.8,10,8,7,3,0,4,7,57.1,3,74,22,29.7,50,22,2,10,4,0,6,8,18,17,0,Matches
1139,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FW,Leicester City,eng Premier League,22,1996,10.7,6,5,0,4,2,3,10,30.0,7,193,56,29.0,21,89,83,9,1,0,8,4,10,5,0,Matches
1140,Luc Ihorst\Luc-Ihorst,de GER,FW,Werder Bremen,de Bundesliga,19,2000,0.1,1,1,0,0,1,0,0,,0,8,3,37.5,0,3,5,0,0,0,0,0,1,0,0,Matches
1141,Jonathan Ikone\Jonathan-Ikone,fr FRA,MFFW,Lille,fr Ligue 1,21,1998,22.9,19,13,5,10,4,8,29,27.6,21,486,133,27.4,45,242,199,26,3,1,23,4,23,4,0,Matches
1142,Yun Il-lok\Yun-Il-lok,kr KOR,MFFW,Montpellier,fr Ligue 1,27,1992,1.3,2,1,0,2,0,0,3,0.0,3,43,11,25.6,12,15,16,0,0,0,0,0,2,0,0,Matches
1143,Josip Iličić\Josip-Ilicic,si SVN,FW,Atalanta,it Serie A,31,1988,18.5,28,21,8,13,7,7,30,23.3,23,329,87,26.4,31,158,140,19,0,0,19,8,36,6,0,Matches
1144,Asier Illarramendi\Asier-Illarramendi,es ESP,MF,Real Sociedad,es La Liga,29,1990,2.4,3,2,1,1,1,1,3,33.3,2,13,4,30.8,5,7,1,2,1,0,1,5,8,5,0,Matches
1145,Stefan Ilsanker\Stefan-Ilsanker,at AUT,DF,RB Leipzig,de Bundesliga,30,1989,4.6,3,3,2,1,0,1,5,20.0,4,44,20,45.5,24,18,2,9,3,0,6,7,10,33,0,Matches
1146,Stefan Ilsanker\Stefan-Ilsanker,at AUT,DFMF,Eint Frankfurt,de Bundesliga,30,1989,9.3,26,16,16,10,0,12,32,37.5,20,139,53,38.1,68,60,11,11,1,0,10,21,47,38,0,Matches
1147,Giannelli Imbula\Giannelli-Imbula,cd COD,MF,Lecce,it Serie A,26,1992,1.4,1,0,1,0,0,0,1,0.0,1,15,0,0.0,5,8,2,2,1,0,1,2,3,1,0,Matches
1148,Ciro Immobile\Ciro-Immobile,it ITA,FW,Lazio,it Serie A,29,1990,34.2,12,7,2,7,3,0,21,0.0,21,486,106,21.8,34,199,253,18,3,0,15,10,22,9,0,Matches
1149,Edmilson Indjai\Edmilson-Indjai,gw GNB,FW,Saint-Étienne,fr Ligue 1,19,2000,0.5,0,0,0,0,0,0,0,,0,12,3,25.0,0,4,8,0,0,0,0,1,1,0,0,Matches
1150,Roberto Inglese\Roberto-Inglese,it ITA,FW,Parma,it Serie A,27,1991,8.2,10,7,3,3,4,2,12,16.7,10,157,40,25.5,16,69,72,10,2,0,8,2,12,1,0,Matches
1151,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,eng Premier League,27,1992,31.2,51,32,17,24,10,15,69,21.7,54,859,227,26.4,148,363,348,64,5,0,59,12,63,24,0,Matches
1152,Marcus Ingvartsen\Marcus-Ingvartsen,dk DEN,MFFW,Union Berlin,de Bundesliga,23,1996,19.1,20,11,7,8,5,8,31,25.8,23,485,130,26.8,106,218,161,26,1,0,25,15,35,18,0,Matches
1153,Lorenzo Insigne\Lorenzo-Insigne,it ITA,FWMF,Napoli,it Serie A,28,1991,30.3,29,22,9,13,7,12,47,25.5,35,408,116,28.4,82,176,150,25,1,0,24,28,57,2,1,Matches
1154,Takashi Inui\Takashi-Inui,jp JPN,MFFW,Eibar,es La Liga,31,1988,21.8,28,17,8,13,7,11,42,26.2,31,414,101,24.4,87,193,134,33,5,0,28,18,46,14,0,Matches
1155,Artur Ioniță\Artur-Ionita,md MDA,MF,Cagliari,it Serie A,28,1990,20.2,32,19,8,18,6,10,41,24.4,31,337,92,27.3,109,160,68,37,10,0,27,17,49,23,1,Matches
1156,Alexander Isak\Alexander-Isak,se SWE,FW,Real Sociedad,es La Liga,19,1999,16.7,9,7,0,6,3,2,10,20.0,8,259,74,28.6,6,84,169,10,1,0,9,3,12,6,0,Matches
1157,Isco\Isco,es ESP,FWMF,Real Madrid,es La Liga,27,1992,13.1,14,8,3,9,2,4,12,33.3,8,195,45,23.1,38,109,48,17,1,0,16,7,21,2,0,Matches
1158,Nicolas Isimat-Mirin\Nicolas-Isimat-Mirin,fr FRA,DF,Toulouse,fr Ligue 1,27,1991,14.0,23,16,16,7,0,8,14,57.1,6,138,53,38.4,93,42,3,29,15,1,14,26,49,109,0,Matches
1159,Jakub Iskra\Jakub-Iskra,pl POL,DF,SPAL,it Serie A,16,2002,0.9,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,1,1,0,0,1,1,0,0,Matches
1160,Gian-Luca Itter\Gian-Luca-Itter,de GER,DFMF,Freiburg,de Bundesliga,20,1999,0.4,1,0,1,0,0,0,0,,0,8,2,25.0,6,2,0,0,0,0,0,1,2,1,0,Matches
1161,Ander Iturraspe\Ander-Iturraspe,es ESP,MF,Espanyol,es La Liga,30,1989,2.7,0,0,0,0,0,0,6,0.0,6,43,8,18.6,12,29,2,2,0,0,2,1,1,6,0,Matches
1162,Alex Iwobi\Alex-Iwobi,ng NGA,MFFW,Everton,eng Premier League,23,1996,17.7,27,14,11,14,2,10,33,30.3,23,369,96,26.0,99,181,89,20,3,0,17,13,40,13,1,Matches
1163,Armando Izzo\Armando-Izzo,it ITA,DF,Torino,it Serie A,27,1992,29.0,48,33,27,17,4,16,36,44.4,20,317,98,30.9,166,117,34,66,32,0,34,70,118,157,1,Matches
1164,Jacobo\Jacobo,es ESP,DF,Celta Vigo,es La Liga,22,1997,0.9,3,1,2,1,0,0,1,0.0,1,19,5,26.3,10,7,2,0,0,0,0,1,4,1,0,Matches
1165,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Sheffield Utd,eng Premier League,36,1982,2.7,6,4,4,2,0,1,6,16.7,5,26,9,34.6,18,8,0,9,5,0,4,4,10,26,0,Matches
1166,Filip Jagiełło\Filip-Jagiello,pl POL,MF,Genoa,it Serie A,21,1997,5.2,6,3,0,3,3,0,4,0.0,4,75,15,20.0,24,38,13,5,0,0,5,4,10,4,0,Matches
1167,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWMF,Brighton,eng Premier League,25,1993,3.5,7,3,2,2,3,3,6,50.0,3,51,20,39.2,15,16,20,5,0,0,5,1,8,4,0,Matches
1168,Mato Jajalo\Mato-Jajalo,ba BIH,MF,Udinese,it Serie A,31,1988,18.3,47,25,22,23,2,16,53,30.2,37,368,101,27.4,150,184,34,33,11,0,22,16,63,29,0,Matches
1169,Ismail Jakobs\Ismail-Jakobs,de GER,FWDF,Köln,de Bundesliga,19,1999,18.6,53,34,30,13,10,10,18,55.6,8,403,109,27.0,146,164,93,34,2,0,32,24,77,47,0,Matches
1170,Christophe Jallet\Christophe-Jallet,fr FRA,DF,Amiens,fr Ligue 1,35,1983,9.5,28,15,17,9,2,11,35,31.4,24,176,49,27.8,75,75,26,23,5,0,18,18,46,34,0,Matches
1171,Daniel James\Daniel-James,wal WAL,FW,Manchester Utd,eng Premier League,21,1997,25.4,25,15,6,12,7,6,45,13.3,39,569,143,25.1,124,263,182,37,4,0,33,8,33,10,0,Matches
1172,Matty James\Matty-James,eng ENG,MF,Leicester City,eng Premier League,28,1991,0.1,0,0,0,0,0,0,0,,0,2,2,100.0,0,1,1,0,0,0,0,0,0,0,0,Matches
1173,Reece James\Reece-James,eng ENG,DF,Chelsea,eng Premier League,19,1999,16.8,42,23,20,17,5,14,31,45.2,17,268,70,26.1,122,113,33,46,8,0,38,23,65,39,0,Matches
1174,Marko Janković\Marko-Jankovic,me MNE,MFDF,SPAL,it Serie A,24,1995,1.3,3,2,1,1,1,1,3,33.3,2,39,11,28.2,7,20,12,4,2,0,2,0,3,1,0,Matches
1175,Jakub Jankto\Jakub-Jankto,cz CZE,MF,Sampdoria,it Serie A,23,1996,23.0,28,15,9,15,4,10,46,21.7,36,425,94,22.1,109,214,102,44,3,0,41,22,50,22,0,Matches
1176,Daryl Janmaat\Daryl-Janmaat,nl NED,DF,Watford,eng Premier League,30,1989,6.7,16,6,7,5,4,6,17,35.3,11,137,31,22.6,55,53,29,14,2,0,12,6,22,25,0,Matches
1177,Laurent Jans\Laurent-Jans,lu LUX,DF,Paderborn 07,de Bundesliga,26,1992,17.5,42,24,30,8,4,21,61,34.4,40,272,100,36.8,164,81,27,31,8,0,23,23,65,53,0,Matches
1178,Tony Jantschke\Tony-Jantschke,de GER,DF,M'gladbach,de Bundesliga,29,1990,11.2,39,16,26,12,1,16,29,55.2,13,129,46,35.7,75,49,5,31,15,0,16,28,67,63,0,Matches
1179,Adnan Januzaj\Adnan-Januzaj,be BEL,FWMF,Real Sociedad,es La Liga,24,1995,13.0,9,4,3,2,4,3,19,15.8,16,174,43,24.7,33,89,52,10,0,0,10,7,16,4,1,Matches
1180,Rune Jarstein\Rune-Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,34,1984,28.3,0,0,0,0,0,0,3,0.0,3,2,0,0.0,2,0,0,0,0,0,0,1,1,1,2,Matches
1181,Jason\Jason,es ESP,MF,Getafe,es La Liga,25,1994,13.1,31,19,10,17,4,9,36,25.0,27,257,79,30.7,48,132,77,23,2,0,21,18,49,11,0,Matches
1182,Dennis Jastrzembski\Dennis-Jastrzembski,de GER,DFMF,Paderborn 07,de Bundesliga,19,2000,2.0,3,2,2,0,1,0,3,0.0,3,39,11,28.2,8,19,12,8,0,0,8,3,6,0,0,Matches
1183,Corentin Jean\Corentin-Jean,fr FRA,DF,Toulouse,fr Ligue 1,24,1995,0.1,0,0,0,0,0,0,0,,0,3,0,0.0,1,0,2,0,0,0,0,0,0,1,0,Matches
1184,Benjamin Jeannot\Benjamin-Jeannot,fr FRA,MF,Dijon,fr Ligue 1,27,1992,1.9,1,1,1,0,0,0,5,0.0,5,41,8,19.5,4,18,19,1,0,0,1,2,3,4,0,Matches
1185,Tin Jedvaj\Tin-Jedvaj,hr CRO,DF,Augsburg,de Bundesliga,23,1995,29.3,47,29,28,18,1,23,57,40.4,34,302,86,28.5,182,106,14,67,19,1,48,58,105,181,1,Matches
1186,Jemerson\Jemerson,br BRA,DFMF,Monaco,fr Ligue 1,26,1992,11.7,30,14,13,15,2,7,20,35.0,13,170,57,33.5,78,85,7,11,5,0,6,15,45,39,1,Matches
1187,Fredrik Jensen\Fredrik-Jensen,fi FIN,FWMF,Augsburg,de Bundesliga,21,1997,5.1,1,1,1,0,0,0,4,0.0,4,162,32,19.8,15,87,60,9,1,0,8,1,2,3,0,Matches
1188,Jesé\Jese,es ESP,FW,Paris S-G,fr Ligue 1,26,1993,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1189,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,eng Premier League,22,1997,22.6,25,19,4,9,12,5,25,20.0,20,419,127,30.3,25,154,240,31,4,0,27,14,39,7,0,Matches
1190,Juan Jesus\Juan-Jesus,br BRA,DF,Roma,it Serie A,28,1991,1.2,2,2,2,0,0,0,2,0.0,2,16,9,56.3,13,3,0,2,0,0,2,0,2,3,0,Matches
1191,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,eng Premier League,28,1991,36.0,29,23,7,15,7,2,26,7.7,24,588,141,24.0,33,291,264,32,4,0,28,14,43,31,0,Matches
1192,Joaquín\Joaquin,es ESP,MFFW,Betis,es La Liga,38,1981,22.9,17,11,5,9,3,4,13,30.8,9,221,59,26.7,56,110,55,36,3,0,33,16,33,19,0,Matches
1193,Joelinton\Joelinton,br BRA,FW,Newcastle Utd,eng Premier League,22,1996,29.8,30,19,5,17,8,11,35,31.4,24,595,135,22.7,73,311,211,33,7,1,26,11,41,28,0,Matches
1194,Ben Johnson\Ben-Johnson,eng ENG,DF,West Ham,eng Premier League,19,2000,3.0,8,4,5,2,1,4,6,66.7,2,36,7,19.4,19,10,7,9,3,0,6,3,11,15,0,Matches
1195,Fabian Johnson\Fabian-Johnson,us USA,MFDF,M'gladbach,de Bundesliga,31,1987,3.0,4,3,0,2,2,2,4,50.0,2,63,20,31.7,13,32,18,5,0,0,5,1,5,1,0,Matches
1196,Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,eng Premier League,18,2001,1.4,3,2,0,1,2,2,3,66.7,1,27,7,25.9,5,8,14,3,0,0,3,2,5,1,0,Matches
1197,Phil Jones\Phil-Jones,eng ENG,DF,Manchester Utd,eng Premier League,27,1992,1.5,4,2,2,2,0,2,2,100.0,0,18,9,50.0,12,5,1,1,0,0,1,4,8,19,1,Matches
1198,Frenkie de Jong\Frenkie-de-Jong,nl NED,MF,Barcelona,es La Liga,22,1997,23.5,30,22,10,13,7,5,19,26.3,14,313,97,31.0,76,149,88,24,7,0,17,23,53,17,0,Matches
1199,Luuk de Jong\Luuk-de-Jong,nl NED,FW,Sevilla,es La Liga,28,1990,22.9,17,10,2,11,4,4,15,26.7,11,353,104,29.5,16,171,166,15,2,0,13,7,24,22,0,Matches
1200,Jony\Jony,es ESP,DF,Lazio,it Serie A,28,1991,13.1,17,11,10,3,4,6,26,23.1,20,172,47,27.3,68,49,55,24,2,0,22,14,31,13,0,Matches
1201,Joan Jordán\Joan-Jordan,es ESP,MF,Sevilla,es La Liga,25,1994,25.0,60,47,23,32,5,24,77,31.2,53,491,139,28.3,129,273,89,39,5,0,34,23,83,33,2,Matches
1202,Bruno Jordão\Bruno-Jordao,pt POR,FW,Wolves,eng Premier League,20,1998,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,1,0,0,1,0,0,0,0,Matches
1203,Jorginho\Jorginho,it ITA,MF,Chelsea,eng Premier League,27,1991,26.4,69,44,22,35,12,27,85,31.8,58,555,161,29.0,186,298,71,41,5,1,36,64,133,34,0,Matches
1204,Jesse Joronen\Jesse-Joronen,fi FIN,GK,Brescia,it Serie A,26,1993,29.0,0,0,0,0,0,0,1,0.0,1,3,0,0.0,3,0,0,0,0,0,0,6,6,4,0,Matches
1205,Willian José\Willian-Jose,br BRA,FW,Real Sociedad,es La Liga,27,1991,22.3,3,3,0,3,0,0,7,0.0,7,189,66,34.9,6,70,113,16,6,0,10,1,4,14,0,Matches
1206,Joselu\Joselu,es ESP,FW,Alavés,es La Liga,29,1990,30.9,25,16,5,12,8,3,31,9.7,28,543,143,26.3,33,257,253,39,6,0,33,13,38,44,0,Matches
1207,Jota\Jota,es ESP,FWMF,Aston Villa,eng Premier League,28,1991,3.7,3,2,1,1,1,2,9,22.2,7,119,17,14.3,43,52,24,3,0,0,3,3,6,6,0,Matches
1208,Diogo Jota\Diogo-Jota,pt POR,FWMF,Wolves,eng Premier League,22,1996,25.4,34,21,13,18,3,12,44,27.3,32,573,127,22.2,124,294,155,17,0,0,17,8,42,9,0,Matches
1209,Vukašin Jovanović\Vukasin-Jovanovic,rs SRB,DF,Bordeaux,fr Ligue 1,23,1996,6.4,24,10,14,10,0,12,20,60.0,8,65,26,40.0,41,24,0,11,4,0,7,15,39,27,0,Matches
1210,Dejan Joveljić\Dejan-Joveljic,rs SRB,FW,Eint Frankfurt,de Bundesliga,19,1999,1.7,3,3,1,1,1,0,3,0.0,3,44,11,25.0,3,19,22,0,0,0,0,0,3,1,0,Matches
1211,Stevan Jovetić\Stevan-Jovetic,me MNE,FWMF,Monaco,fr Ligue 1,29,1989,5.3,1,1,0,1,0,0,6,0.0,6,71,17,23.9,14,31,26,5,1,0,4,2,3,3,0,Matches
1212,Luka Jović\Luka-Jovic,rs SRB,FW,Real Madrid,es La Liga,21,1997,4.8,3,2,0,2,1,0,0,,0,69,20,29.0,4,30,35,2,0,0,2,2,5,0,0,Matches
1213,Juanmi\Juanmi,es ESP,FWMF,Betis,es La Liga,26,1993,2.9,5,4,1,3,1,1,3,33.3,2,49,13,26.5,7,34,8,2,0,0,2,0,5,2,0,Matches
1214,David Juncà\David-Junca,es ESP,DF,Celta Vigo,es La Liga,25,1993,2.9,4,3,2,2,0,2,2,100.0,0,32,8,25.0,12,14,6,3,1,0,2,1,5,7,0,Matches
1215,Hamed Junior Traorè\Hamed-Junior-Traore,ci CIV,MFFW,Sassuolo,it Serie A,19,2000,16.8,31,15,12,13,6,7,28,25.0,21,281,69,24.6,56,135,90,21,2,0,19,11,42,8,0,Matches
1216,Lago Junior\Lago-Junior,ci CIV,MFFW,Mallorca,es La Liga,28,1990,24.3,33,19,15,10,8,11,31,35.5,20,399,94,23.6,108,179,112,37,5,0,32,15,48,19,0,Matches
1217,Vinicius Júnior\Vinicius-Junior,br BRA,FWMF,Real Madrid,es La Liga,19,2000,15.2,27,17,11,12,4,5,26,19.2,21,299,88,29.4,76,137,86,19,0,0,19,6,33,0,0,Matches
1218,James Justin\James-Justin,eng ENG,DF,Leicester City,eng Premier League,21,1998,11.2,35,19,21,13,1,13,23,56.5,10,158,57,36.1,75,59,24,25,7,0,18,9,44,30,0,Matches
1219,Musa Juwara\Musa-Juwara,gm GAM,FWMF,Bologna,it Serie A,17,2001,0.9,1,0,0,1,0,0,1,0.0,1,18,5,27.8,7,8,3,1,0,0,1,0,1,1,0,Matches
1220,Mathias Jørgensen\Mathias-Jorgensen,dk DEN,DF,Düsseldorf,de Bundesliga,29,1990,5.5,8,5,5,3,0,4,6,66.7,2,38,14,36.8,25,13,0,11,5,0,6,15,23,29,1,Matches
1221,Ozan Kabak\Ozan-Kabak,tr TUR,DF,Schalke 04,de Bundesliga,19,2000,19.7,56,36,42,14,0,18,32,56.3,14,218,80,36.7,151,63,4,46,21,0,25,35,91,135,0,Matches
1222,Christian Kabasele\Christian-Kabasele,be BEL,DF,Watford,eng Premier League,28,1991,25.0,40,24,32,8,0,16,36,44.4,20,248,86,34.7,141,89,18,55,28,0,27,37,77,170,2,Matches
1223,Abdoul Kader Bamba\Abdoul-Kader-Bamba,fr FRA,FWMF,Nantes,fr Ligue 1,25,1994,16.3,28,17,8,12,8,15,39,38.5,24,306,85,27.8,80,141,85,24,2,1,22,12,40,5,0,Matches
1224,Pavel Kadeřábek\Pavel-Kaderabek,cz CZE,DFMF,Hoffenheim,de Bundesliga,27,1992,27.5,31,21,16,15,0,10,30,33.3,20,283,86,30.4,107,117,59,62,8,2,54,25,56,56,0,Matches
1225,Florian Kainz\Florian-Kainz,at AUT,FWMF,Köln,de Bundesliga,26,1992,17.3,22,10,13,5,4,8,26,30.8,18,288,67,23.3,89,132,67,28,2,0,26,12,34,16,0,Matches
1226,Gaël Kakuta\Gael-Kakuta,cd COD,MFFW,Amiens,fr Ligue 1,28,1991,22.2,44,31,11,29,4,15,46,32.6,31,552,153,27.7,91,317,144,18,1,0,17,15,59,8,0,Matches
1227,Lovre Kalinić\Lovre-Kalinic,hr CRO,GK,Toulouse,fr Ligue 1,29,1990,3.4,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
1228,Nikola Kalinić\Nikola-Kalinic,hr CRO,FW,Roma,it Serie A,31,1988,5.3,0,0,0,0,0,0,0,,0,45,15,33.3,2,14,29,3,0,0,3,1,1,1,0,Matches
1229,Salomon Kalou\Salomon-Kalou,ci CIV,FWMF,Hertha BSC,de Bundesliga,33,1985,1.6,3,3,1,1,1,0,3,0.0,3,33,10,30.3,4,10,19,4,0,0,4,0,3,2,1,Matches
1230,Samuel Kalu\Samuel-Kalu,ng NGA,FWDF,Bordeaux,fr Ligue 1,21,1997,15.1,43,19,19,19,5,12,34,35.3,22,304,81,26.6,83,151,70,21,1,0,20,21,64,10,2,Matches
1231,Daichi Kamada\Daichi-Kamada,jp JPN,MFFW,Eint Frankfurt,de Bundesliga,22,1996,21.9,30,21,9,17,4,5,35,14.3,30,457,133,29.1,64,190,203,18,1,0,17,9,39,8,0,Matches
1232,François Kamano\Francois-Kamano,gn GUI,DFMF,Bordeaux,fr Ligue 1,23,1996,7.2,14,8,6,4,4,6,14,42.9,8,149,44,29.5,51,71,27,8,0,0,8,3,17,6,0,Matches
1233,Boubacar Kamara\Boubacar-Kamara,fr FRA,DFMF,Marseille,fr Ligue 1,19,1999,23.8,76,53,38,35,3,28,69,40.6,41,355,127,35.8,146,194,15,41,15,0,26,37,113,95,0,Matches
1234,Hassane Kamara\Hassane-Kamara,gm GAM,DFFW,Reims,fr Ligue 1,24,1994,19.0,66,31,47,15,4,28,50,56.0,22,313,97,31.0,172,94,47,40,3,0,37,57,123,64,0,Matches
1235,Kevin Kampl\Kevin-Kampl,si SVN,MF,RB Leipzig,de Bundesliga,28,1990,7.5,19,14,8,8,3,9,22,40.9,13,151,46,30.5,49,72,30,11,2,0,9,15,34,3,1,Matches
1236,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,eng Premier League,26,1993,28.7,20,14,5,13,2,6,19,31.6,13,448,100,22.3,22,219,207,31,12,0,19,5,25,30,0,Matches
1237,Wilfried Kanga\Wilfried-Kanga,fr FRA,FW,Angers,fr Ligue 1,21,1998,0.8,0,0,0,0,0,0,1,0.0,1,19,2,10.5,0,12,7,0,0,0,0,0,0,0,0,Matches
1238,Lee Kangin\Lee-Kangin,kr KOR,MFFW,Valencia,es La Liga,18,2001,5.0,3,2,1,1,1,0,5,0.0,5,113,28,24.8,13,67,33,3,0,0,3,2,5,1,0,Matches
1239,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,eng Premier League,28,1991,19.2,59,43,29,22,8,12,33,36.4,21,437,141,32.3,152,190,95,43,3,0,40,46,105,35,0,Matches
1240,Stefanos Kapino\Stefanos-Kapino,gr GRE,GK,Werder Bremen,de Bundesliga,25,1994,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,1,1,0,Matches
1241,Wilfrid Kaptoum\Wilfrid-Kaptoum,cm CMR,MF,Betis,es La Liga,23,1996,2.2,6,5,3,2,1,2,2,100.0,0,43,18,41.9,15,21,7,3,1,0,2,1,7,6,0,Matches
1242,Kenan Karaman\Kenan-Karaman,tr TUR,FW,Düsseldorf,de Bundesliga,25,1994,15.0,8,4,2,3,3,7,12,58.3,5,215,59,27.4,20,110,85,12,5,0,7,2,10,9,0,Matches
1243,Yann Karamoh\Yann-Karamoh,fr FRA,FWMF,Parma,it Serie A,21,1998,6.4,8,5,3,4,1,3,10,30.0,7,133,34,25.6,23,70,40,8,0,0,8,2,10,4,0,Matches
