,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
119,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,167,163,4,4,0,32,7,1,0,0,0,0,96,44,27,35,126,3,0,0,136,0,5,2,6,Matches
120,Josip Drmić\Josip-Drmic,ch SUI,FWMF,Norwich City,26,1992,7.2,164,152,12,0,0,48,5,3,2,2,0,0,102,44,18,19,121,7,1,9,125,0,4,4,3,Matches
121,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,37.0,1062,586,476,146,0,119,33,0,0,0,0,0,264,37,761,47,825,1,1,119,584,7,32,6,2,Matches
122,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Norwich City,24,1994,8.0,382,345,37,10,0,72,17,43,24,8,15,0,226,82,74,41,309,13,1,11,298,0,7,7,13,Matches
123,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,27,1992,13.8,613,577,36,32,0,98,35,1,0,0,0,0,391,86,136,39,482,48,4,8,515,1,16,3,7,Matches
124,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,27,1991,13.6,502,450,52,11,0,104,11,15,0,0,0,0,262,71,169,382,30,29,41,3,358,2,12,6,16,Matches
125,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,34.9,2150,2058,92,60,1,261,115,1,0,0,0,0,1503,255,392,134,1821,105,32,18,1882,6,49,22,9,Matches
126,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,33.1,1034,853,181,45,1,117,38,0,0,0,0,0,764,59,211,713,143,3,1,157,900,3,17,4,1,Matches
127,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,34.4,1194,1162,32,28,0,187,49,2,0,0,0,0,760,154,280,141,881,111,4,4,1006,2,29,2,6,Matches
128,Harvey Elliot\Harvey-Elliot,eng ENG,DF,Liverpool,16,2003,0.1,15,11,4,0,0,0,1,3,3,0,2,0,8,3,4,13,1,0,1,0,12,0,0,0,0,Matches
129,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,31,1987,11.5,633,533,100,6,0,102,12,58,0,0,0,0,304,136,193,7,482,30,94,1,484,3,9,18,14,Matches
130,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,24,1994,16.1,605,586,19,17,0,91,29,2,0,0,0,0,399,68,138,53,491,31,2,1,503,2,9,5,4,Matches
