,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
405,Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,29,1990,10.3,516,498,18,17,0,70,10,0,0,0,0,0,390,49,77,384,94,21,1,4,451,1,3,3,5,Matches
406,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,27,1992,30.8,952,900,52,4,12,233,19,44,28,3,15,3,675,152,125,748,161,16,8,10,707,3,15,26,46,Matches
407,Mbwana Samatta\Mbwana-Samatta,tz TAN,FW,Aston Villa,26,1992,9.7,162,154,8,0,1,45,1,3,0,0,0,0,85,32,45,21,91,19,1,6,119,0,3,3,5,Matches
408,Carlos Sánchez\Carlos-Sanchez,co COL,MFDF,West Ham,33,1986,1.3,55,55,0,0,0,15,1,0,0,0,0,0,28,13,14,14,32,5,0,2,45,0,0,1,1,Matches
409,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,23,1996,27.0,1496,1457,39,24,0,218,42,2,0,0,0,0,1142,160,194,201,1181,70,15,4,1298,2,17,13,20,Matches
410,Leroy Sané\Leroy-Sane,de GER,FW,Manchester City,23,1996,0.1,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,6,1,0,0,0,6,0,0,0,0,Matches
411,Ismaila Sarr\Ismaila-Sarr,sn SEN,FWMF,Watford,21,1998,21.5,558,549,9,2,3,138,10,88,1,0,1,0,367,112,79,38,487,13,1,5,402,3,12,14,26,Matches
412,Fabian Schär\Fabian-Schar,ch SUI,DFMF,Newcastle Utd,27,1991,18.6,767,697,70,48,0,125,72,12,0,0,0,0,400,107,260,97,593,40,22,0,576,8,20,8,10,Matches
413,Ezequiel Schelotto\Ezequiel-Schelotto,it ITA,DF,Brighton,30,1989,4.0,169,129,40,1,0,31,3,16,0,0,0,0,71,57,41,12,105,8,39,0,121,0,3,3,7,Matches
414,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MFDF,Crystal Palace,26,1992,10.6,309,289,20,3,1,74,7,8,0,0,0,0,195,54,60,206,54,14,17,3,230,3,4,8,10,Matches
415,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,32,1986,37.0,1143,797,346,111,1,110,65,0,0,0,0,0,601,100,442,55,888,3,0,150,882,6,41,4,3,Matches
416,Morgan Schneiderlin\Morgan-Schneiderlin,fr FRA,MF,Everton,29,1989,11.1,567,550,17,10,0,97,30,8,0,0,0,0,338,117,112,77,452,22,0,3,494,0,4,6,9,Matches
417,Ryan Sessegnon\Ryan-Sessegnon,eng ENG,DF,Tottenham,19,2000,3.8,195,168,27,2,0,39,5,13,1,0,1,0,119,42,34,151,11,4,24,0,145,0,1,4,8,Matches
418,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,FW,Liverpool,27,1991,2.1,109,96,13,2,0,21,3,6,6,3,1,0,62,26,21,82,17,2,5,0,90,2,0,4,2,Matches
419,Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,33,1986,10.9,210,205,5,0,0,68,2,12,0,0,0,0,127,56,27,19,162,16,0,5,154,1,3,7,11,Matches
420,Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,24,1995,19.3,1296,1137,159,19,1,242,14,37,5,4,0,0,910,203,183,972,111,55,135,3,1121,1,12,19,37,Matches
421,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,27,1992,22.5,1059,936,123,49,5,223,108,86,60,26,24,4,555,154,350,110,902,30,2,4,769,11,22,18,19,Matches
422,Djibril Sidibé\Djibril-Sidibe,fr FRA,DF,Everton,27,1992,19.9,1117,923,194,17,0,182,32,67,1,0,0,0,632,260,225,137,735,46,176,2,867,4,20,26,43,Matches
423,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,29,1989,27.4,1049,918,131,41,3,155,48,129,71,29,35,5,664,175,210,166,821,36,3,6,812,3,20,13,34,Matches
424,Bernardo Silva\Bernardo-Silva,pt POR,FWMF,Manchester City,24,1994,22.5,1448,1392,56,10,3,251,24,71,19,1,1,0,1100,210,138,1278,95,40,24,2,1261,2,6,15,39,Matches
425,David Silva\David-Silva,es ESP,MF,Manchester City,33,1986,19.4,1456,1399,57,18,11,262,11,35,10,1,2,0,1183,175,98,1248,177,16,5,4,1270,6,12,33,38,Matches
426,Jack Simpson\Jack-Simpson,eng ENG,DF,Bournemouth,22,1997,2.7,100,86,14,0,0,17,3,0,0,0,0,0,53,27,20,68,15,1,14,0,70,1,8,3,3,Matches
427,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,29,1989,26.4,1242,1177,65,19,2,189,22,23,0,0,0,0,927,184,131,122,991,47,46,12,1070,3,14,24,23,Matches
428,Oliver Skipp\Oliver-Skipp,eng ENG,MFDF,Tottenham,18,2000,0.7,29,29,0,0,0,4,0,0,0,0,0,0,23,2,4,1,24,4,0,0,27,0,1,1,0,Matches
429,William Smallbone\William-Smallbone,ie IRL,MF,Southampton,19,2000,3.7,179,172,7,1,0,33,5,4,0,0,0,0,122,27,30,25,146,4,1,1,149,0,3,2,4,Matches
430,Adam Smith\Adam-Smith,eng ENG,DF,Bournemouth,28,1991,21.8,1027,832,195,21,1,177,11,25,1,1,0,0,587,191,249,64,715,48,173,2,819,3,21,13,36,Matches
431,Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,MF,Arsenal,19,2000,1.1,36,36,0,0,0,8,1,1,0,0,0,0,27,6,3,3,32,1,0,0,30,0,1,1,1,Matches
432,Robert Snodgrass\Robert-Snodgrass,sco SCO,MFFW,West Ham,31,1987,16.8,635,529,106,32,2,113,37,135,72,27,24,19,326,103,206,541,53,29,1,2,435,3,6,15,24,Matches
433,Cédric Soares\Cedric-Soares,pt POR,DF,Southampton,27,1991,14.5,724,527,197,11,0,117,19,52,0,0,0,0,271,208,245,64,414,44,186,3,522,3,12,11,14,Matches
434,Cédric Soares\Cedric-Soares,pt POR,DF,Arsenal,27,1991,2.8,133,112,21,3,0,16,6,18,0,0,0,0,66,29,38,19,83,10,18,1,94,0,1,1,7,Matches
435,Dominic Solanke\Dominic-Solanke,eng ENG,FWMF,Bournemouth,21,1997,17.6,414,389,25,1,0,131,3,5,0,0,0,0,261,90,63,39,296,35,1,9,309,1,6,9,18,Matches
436,Tomáš Souček\Tomas-Soucek,cz CZE,MF,West Ham,24,1995,9.6,327,321,6,3,0,86,11,2,1,1,0,0,178,59,90,38,216,33,2,0,220,1,5,4,11,Matches
437,Çağlar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,23,1996,33.7,2239,2187,52,44,0,261,53,4,0,0,0,0,1801,194,244,437,1653,84,8,9,2035,8,24,10,19,Matches
438,Dennis Srbeny\Dennis-Srbeny,de GER,MFFW,Norwich City,25,1994,0.5,23,23,0,0,0,4,0,0,0,0,0,0,16,6,1,6,12,3,0,1,17,0,1,0,1,Matches
439,Jack Stacey\Jack-Stacey,eng ENG,DF,Bournemouth,23,1996,17.2,780,625,155,6,0,156,8,34,1,1,0,0,373,190,217,65,497,54,148,1,560,3,13,19,37,Matches
440,Junior Stanislas\Junior-Stanislas,eng ENG,MFDF,Bournemouth,29,1989,7.6,293,258,35,12,1,57,11,37,16,8,5,1,176,58,59,23,249,4,6,2,211,1,7,3,13,Matches
441,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,26,1992,0.1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,Matches
442,Dale Stephens\Dale-Stephens,eng ENG,MF,Brighton,30,1989,27.1,1601,1585,16,11,4,293,55,4,0,0,0,0,1078,275,248,171,1342,62,4,6,1388,4,22,26,24,Matches
443,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,25,1994,26.2,1101,1053,48,35,3,180,34,5,0,0,0,0,641,114,346,58,918,90,13,2,820,5,37,8,22,Matches
444,Raheem Sterling\Raheem-Sterling,eng ENG,FW,Manchester City,24,1994,28.5,1176,1157,19,1,4,279,4,50,0,0,0,0,926,148,102,131,988,19,13,14,948,1,12,33,55,Matches
445,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,29,1990,36.2,1871,1551,320,7,1,350,28,118,0,0,0,0,1009,421,441,1331,135,70,313,2,1388,6,32,37,88,Matches
446,Marco Stiepermann\Marco-Stiepermann,de GER,MF,Norwich City,28,1991,12.3,381,361,20,0,3,112,4,6,0,0,0,0,272,60,49,321,36,14,2,2,279,0,9,9,23,Matches
447,John Stones\John-Stones,eng ENG,DF,Manchester City,25,1994,12.5,1016,1001,15,11,0,136,36,0,0,0,0,0,847,72,97,103,839,43,4,3,966,1,4,2,4,Matches
448,Isaac Success\Isaac-Success,ng NGA,FWMF,Watford,23,1996,0.8,21,21,0,0,0,12,0,2,0,0,0,0,12,7,2,1,15,1,0,3,14,0,0,1,2,Matches
449,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Newcastle Utd,30,1989,1.5,67,61,6,3,0,13,8,4,3,3,0,0,45,11,11,5,57,3,0,0,59,0,0,1,0,Matches
450,Andrew Surman\Andrew-Surman,eng ENG,MF,Bournemouth,32,1986,2.6,127,118,9,7,0,20,7,3,2,1,1,0,69,29,29,95,13,15,0,0,102,0,2,1,1,Matches
451,Sam Surridge\Sam-Surridge,eng ENG,FW,Bournemouth,21,1998,0.3,10,10,0,0,1,4,0,1,0,0,0,0,4,2,4,1,4,2,0,0,4,1,0,0,0,Matches
452,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,20,1999,5.8,232,195,37,4,0,38,5,2,0,0,0,0,135,59,38,21,151,13,33,1,188,0,5,3,11,Matches
453,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,23,1995,24.5,1172,948,224,32,0,212,33,80,10,7,0,2,586,273,313,765,129,74,182,5,861,4,25,16,41,Matches
454,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,26,1992,37.0,1211,1187,24,21,0,239,30,4,0,0,0,0,597,206,408,149,814,126,3,6,881,6,48,12,19,Matches
455,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,25,1993,21.6,1035,754,281,11,2,157,25,88,0,0,0,0,356,260,419,660,19,57,270,2,726,5,28,9,48,Matches
456,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,30,1989,12.1,513,414,99,6,0,94,4,9,0,0,0,0,286,128,99,276,123,16,93,0,410,2,9,5,14,Matches
457,Nathan Tella\Nathan-Tella,eng ENG,FW,Southampton,20,1999,0.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
458,Alexander Tettey\Alexander-Tettey,no NOR,MFDF,Norwich City,33,1986,26.0,1242,1229,13,11,1,280,19,4,1,0,0,0,968,144,130,163,963,79,1,9,1100,0,12,11,13,Matches
459,Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,,,2.0,140,123,17,1,0,9,2,12,0,0,0,0,95,25,20,106,13,5,16,0,118,0,1,1,4,Matches
460,Max Thompson\Max-Thompson,eng ENG,FW,Burnley,17,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
461,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,22,1997,30.6,1762,1665,97,44,9,363,62,79,39,7,19,4,1215,253,294,308,1361,45,12,14,1423,9,21,18,37,Matches
462,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,22,1997,10.0,511,428,83,7,1,72,12,42,0,0,0,0,285,108,118,352,49,29,76,0,389,3,15,4,21,Matches
463,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,30,1989,17.6,626,597,29,26,0,106,24,1,0,0,0,0,377,96,153,81,474,34,3,0,505,2,14,6,5,Matches
464,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,21,1997,14.3,1098,1078,20,10,1,130,15,4,0,0,0,0,884,73,141,274,765,35,10,0,981,0,17,6,14,Matches
465,Lucas Torreira\Lucas-Torreira,uy URU,MF,Arsenal,23,1996,16.6,899,861,38,24,1,180,10,12,12,3,3,3,611,145,143,87,742,59,2,2,786,2,7,10,17,Matches
466,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Crystal Palace,28,1991,2.0,47,47,0,0,1,19,0,2,0,0,0,0,23,11,13,13,27,2,0,1,29,2,2,3,2,Matches
467,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,28,1991,3.2,62,61,1,0,0,19,3,2,0,0,0,0,28,21,13,17,34,6,0,3,42,0,2,2,5,Matches
468,Andros Townsend\Andros-Townsend,eng ENG,MF,Crystal Palace,28,1991,13.4,422,399,23,5,1,110,18,57,7,5,0,0,262,62,98,306,104,1,8,1,296,2,10,5,22,Matches
469,Adama Traoré\Adama-Traore,es ESP,FWMF,Wolves,23,1996,28.4,921,871,50,0,3,254,36,182,0,0,0,0,509,161,251,83,729,19,50,7,604,1,19,20,70,Matches
470,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,20,1999,1.0,32,23,9,1,0,4,0,0,0,0,0,0,16,3,13,3,24,0,0,5,23,0,1,0,0,Matches
471,Trézéguet\Trezeguet,eg EGY,FWMF,Aston Villa,24,1994,20.7,437,417,20,2,1,87,22,64,10,5,2,0,251,86,100,22,356,27,8,9,293,2,16,11,22,Matches
472,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,24,1994,22.3,795,752,43,17,3,171,44,76,10,5,4,1,447,173,175,174,583,15,13,8,567,3,15,22,45,Matches
473,Tom Trybull\Tom-Trybull,de GER,MF,Norwich City,26,1993,12.6,597,578,19,19,0,128,16,0,0,0,0,0,463,79,55,78,481,29,0,1,551,0,6,0,5,Matches
474,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,21,1997,2.1,141,129,12,1,0,16,3,1,0,0,0,0,104,24,13,18,104,5,11,1,127,0,0,1,2,Matches
475,Yan Valery\Yan-Valery,fr FRA,DF,Southampton,20,1999,8.7,318,222,96,2,0,65,7,12,0,0,0,0,121,84,113,14,181,15,94,1,198,0,20,7,16,Matches
476,Jesús Vallejo\Jesus-Vallejo,es ESP,DF,Wolves,22,1997,1.8,104,103,1,1,0,13,3,0,0,0,0,0,70,11,23,5,94,2,0,0,81,0,5,1,1,Matches
477,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,32,1987,32.7,449,392,57,0,2,95,7,31,0,0,0,0,266,98,85,80,292,37,5,7,304,0,10,11,27,Matches
478,Indiana Vassilev\Indiana-Vassilev,us USA,FWMF,Aston Villa,18,2001,0.6,11,10,1,0,0,5,0,0,0,0,0,0,9,0,2,6,3,1,1,0,8,0,0,1,1,Matches
479,Jan Vertonghen\Jan-Vertonghen,be BEL,DF,Tottenham,32,1987,18.3,1112,1009,103,38,0,166,28,18,0,0,0,0,764,147,201,726,249,47,65,1,930,1,9,13,23,Matches
480,Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,Southampton,26,1992,15.6,704,659,45,19,2,121,19,1,0,0,0,0,456,76,172,208,385,56,26,3,558,1,22,3,5,Matches
481,Rúben Vinagre\Ruben-Vinagre,pt POR,DF,Wolves,20,1999,6.9,336,265,71,5,0,64,8,30,0,0,0,0,168,91,77,235,23,6,66,1,250,0,9,4,21,Matches
482,Jake Vokins\Jake-Vokins,eng ENG,DF,Southampton,19,2000,1.0,73,61,12,1,1,11,1,1,0,0,0,0,31,19,23,48,10,2,11,2,60,0,0,1,1,Matches
483,Mario Vrančić\Mario-Vrancic,ba BIH,MF,Norwich City,30,1989,6.9,426,414,12,9,2,94,9,4,1,1,0,0,271,70,85,319,69,25,2,2,335,3,4,10,6,Matches
484,Matěj Vydra\Matej-Vydra,cz CZE,FW,Burnley,27,1992,9.0,136,133,3,0,0,47,0,3,0,0,0,0,71,48,17,21,78,19,1,2,100,0,5,1,5,Matches
485,Theo Walcott\Theo-Walcott,eng ENG,MFFW,Everton,30,1989,13.7,378,368,10,1,3,60,8,39,2,1,1,0,224,89,65,26,317,21,7,2,246,0,11,21,27,Matches
486,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,29,1990,25.6,2057,1842,215,26,2,249,78,52,1,0,0,0,1443,343,271,53,1727,52,188,17,1803,4,24,27,45,Matches
487,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Tottenham,22,1997,2.7,214,187,27,4,0,32,3,8,0,0,0,0,154,33,27,15,171,5,23,0,183,1,1,3,6,Matches
488,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Southampton,22,1997,6.8,364,275,89,7,1,45,3,11,0,0,0,0,204,64,96,27,241,11,82,1,277,0,5,2,15,Matches
489,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,21,1997,32.6,1979,1603,376,16,0,282,15,99,0,0,0,0,1264,398,317,79,1481,43,360,2,1599,5,23,35,91,Matches
490,Victor Wanyama\Victor-Wanyama,ke KEN,MF,Tottenham,28,1991,0.3,19,17,2,1,0,2,1,0,0,0,0,0,12,4,3,0,16,2,1,0,18,0,0,0,0,Matches
491,Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,29,1989,25.5,1201,932,269,14,0,210,19,33,0,0,0,0,580,316,305,91,754,68,255,10,893,5,33,27,50,Matches
492,James Ward-Prowse\James-Ward-Prowse,eng ENG,MFDF,Southampton,24,1994,37.0,1874,1527,347,82,5,271,94,251,173,76,71,19,969,314,591,157,1454,148,53,10,1380,4,29,25,40,Matches
493,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,24,1995,28.6,1788,1705,83,51,1,294,46,6,0,0,0,0,1251,237,300,325,1275,101,31,5,1524,5,25,19,16,Matches
494,Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,Watford,28,1990,8.1,151,146,5,0,0,42,1,1,1,0,1,0,101,28,22,8,115,10,0,2,115,0,1,2,6,Matches
495,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,29,1990,34.0,1778,1584,194,62,10,275,82,139,89,78,1,2,958,317,503,101,1589,65,3,5,1321,10,38,19,35,Matches
496,Connor Wickham\Connor-Wickham,eng ENG,FWMF,Crystal Palace,26,1993,1.1,44,42,2,0,0,17,2,0,0,0,0,0,13,15,16,5,16,12,1,1,29,0,0,1,3,Matches
497,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,28,1990,30.9,1509,1484,25,12,4,265,28,5,0,0,0,0,1207,180,122,163,1257,45,13,7,1366,1,8,17,27,Matches
498,Jetro Willems\Jetro-Willems,nl NED,DF,Newcastle Utd,25,1994,16.6,582,450,132,10,0,98,13,32,1,1,0,0,306,95,181,336,91,21,121,3,408,4,9,17,27,Matches
499,Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,18,2000,9.2,489,428,61,5,1,70,5,11,1,0,0,0,345,78,66,132,283,11,55,1,400,3,7,12,11,Matches
500,Neco Williams\Neco-Williams,wal WAL,DF,Liverpool,18,2001,1.6,140,113,27,2,1,10,8,12,3,1,2,0,75,27,38,5,107,5,22,0,114,0,4,2,5,Matches
501,Willian\Willian,br BRA,FW,Chelsea,30,1988,28.2,1572,1436,136,16,4,337,82,173,110,27,55,10,1058,244,270,183,1333,36,8,4,1228,4,17,21,48,Matches
502,Joe Willock\Joe-Willock,eng ENG,MFFW,Arsenal,19,1999,8.9,353,343,10,1,0,66,8,7,6,1,0,0,260,44,49,40,288,14,2,4,288,4,6,6,7,Matches
503,Jack Wilshere\Jack-Wilshere,eng ENG,MF,West Ham,27,1992,2.4,73,69,4,3,0,15,0,0,0,0,0,0,53,10,10,60,5,1,0,2,61,0,2,2,1,Matches
504,Callum Wilson\Callum-Wilson,eng ENG,FW,Bournemouth,27,1992,31.3,510,483,27,0,5,158,9,21,0,0,0,0,268,155,87,52,372,30,1,17,328,2,8,9,46,Matches
505,Harry Wilson\Harry-Wilson,wal WAL,MFFW,Bournemouth,22,1997,18.3,606,549,57,10,7,134,30,35,20,12,0,1,366,120,120,510,60,19,9,3,452,0,11,17,34,Matches
506,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,23,1996,23.7,1587,1519,68,40,5,235,45,26,7,3,2,1,1225,172,190,200,1329,39,5,5,1406,2,15,21,12,Matches
507,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,27,1991,26.1,468,457,11,0,0,159,4,8,0,0,0,0,200,151,117,60,242,66,1,20,303,4,11,13,14,Matches
508,Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,26,1992,27.7,1819,1756,63,51,3,364,75,16,0,0,0,0,1281,277,261,1429,268,78,12,4,1599,8,19,24,25,Matches
509,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,MFFW,West Ham,29,1989,10.5,405,395,10,4,1,89,19,19,3,2,0,1,271,65,69,295,89,15,3,1,324,0,8,6,12,Matches
510,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,26,1993,10.4,316,274,42,1,0,49,5,26,0,0,0,0,142,73,101,14,234,20,41,3,228,0,7,3,10,Matches
511,Maya Yoshida\Maya-Yoshida,jp JPN,DF,Southampton,30,1988,6.2,247,239,8,5,0,32,8,0,0,0,0,0,171,24,52,49,174,14,3,4,207,1,7,3,3,Matches
512,Ashley Young\Ashley-Young,eng ENG,DF,Manchester Utd,34,1985,10.6,735,553,182,28,1,114,39,62,35,13,14,6,406,130,199,86,502,17,119,5,565,4,21,17,19,Matches
513,Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DF,West Ham,34,1985,6.6,326,258,68,4,0,32,3,15,0,0,0,0,158,56,112,27,201,29,64,0,247,0,3,3,14,Matches
514,Wilfried Zaha\Wilfried-Zaha,ci CIV,MFFW,Crystal Palace,26,1992,35.4,1159,1130,29,1,2,308,30,67,0,0,0,0,914,148,97,147,961,12,25,3,910,2,12,33,70,Matches
515,Christoph Zimmermann\Christoph-Zimmermann,de GER,DF,Norwich City,26,1993,14.9,593,573,20,17,0,124,15,0,0,0,0,0,365,80,148,77,468,31,3,2,485,0,12,5,8,Matches
516,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,22,1996,14.2,1348,1232,116,9,2,157,20,53,3,0,0,1,986,208,154,1090,91,44,104,4,1198,4,7,14,22,Matches
517,Richairo Živković\Richairo-Zivkovic,nl NED,FWDF,Sheffield Utd,22,1996,0.8,16,15,1,0,0,4,0,1,0,0,0,0,10,3,3,3,13,0,0,0,14,0,1,0,0,Matches
518,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,24,1994,24.0,1842,1814,28,23,0,203,84,0,0,0,0,0,1437,139,266,323,1405,65,5,2,1641,3,29,13,12,Matches
