,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
487,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Tottenham,22,1997,2.7,6,2.24,4,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
488,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Southampton,22,1997,6.8,6,0.88,6,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
489,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,21,1997,32.6,44,1.35,37,2,5,0,0,6,0.18,5,0,1,0,0,0,Matches
490,Victor Wanyama\Victor-Wanyama,ke KEN,MF,Tottenham,28,1991,0.3,1,3.60,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
491,Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,29,1989,25.5,8,0.31,7,0,0,0,0,1,0.04,0,0,0,0,0,1,Matches
492,James Ward-Prowse\James-Ward-Prowse,eng ENG,MFDF,Southampton,24,1994,37.0,100,2.70,45,45,0,7,3,6,0.16,2,2,0,1,1,0,Matches
493,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,24,1995,28.6,21,0.73,19,1,1,0,0,1,0.03,1,0,0,0,0,0,Matches
494,Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,Watford,28,1990,8.1,7,0.86,5,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
495,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,29,1990,34.0,88,2.59,57,27,0,2,1,9,0.26,3,5,0,0,0,1,Matches
496,Connor Wickham\Connor-Wickham,eng ENG,FWMF,Crystal Palace,26,1993,1.1,2,1.87,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
497,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,28,1990,30.9,43,1.39,35,0,5,1,2,3,0.10,3,0,0,0,0,0,Matches
498,Jetro Willems\Jetro-Willems,nl NED,DF,Newcastle Utd,25,1994,16.6,34,2.05,27,3,4,0,0,6,0.36,4,1,1,0,0,0,Matches
499,Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,18,2000,9.2,23,2.51,20,1,1,0,1,1,0.11,0,0,0,0,1,0,Matches
500,Neco Williams\Neco-Williams,wal WAL,DF,Liverpool,18,2001,1.6,4,2.47,3,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
501,Willian\Willian,br BRA,FW,Chelsea,30,1988,28.2,143,5.06,97,31,6,3,6,12,0.42,10,1,0,0,1,0,Matches
502,Joe Willock\Joe-Willock,eng ENG,MFFW,Arsenal,19,1999,8.9,31,3.48,26,0,3,1,1,3,0.34,3,0,0,0,0,0,Matches
503,Jack Wilshere\Jack-Wilshere,eng ENG,MF,West Ham,27,1992,2.4,1,0.42,1,0,0,0,0,1,0.42,1,0,0,0,0,0,Matches
504,Callum Wilson\Callum-Wilson,eng ENG,FW,Bournemouth,27,1992,31.3,57,1.82,42,0,3,5,7,7,0.22,2,0,1,1,3,0,Matches
505,Harry Wilson\Harry-Wilson,wal WAL,MFFW,Bournemouth,22,1997,18.3,43,2.36,30,3,1,2,7,3,0.16,1,0,0,1,1,0,Matches
506,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,23,1996,23.7,37,1.56,34,3,0,0,0,5,0.21,5,0,0,0,0,0,Matches
507,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,27,1991,26.1,47,1.80,31,0,5,3,8,3,0.12,3,0,0,0,0,0,Matches
508,Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,26,1992,27.7,39,1.41,33,1,2,1,2,4,0.14,3,0,0,0,1,0,Matches
509,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,MFFW,West Ham,29,1989,10.5,35,3.33,29,1,3,1,1,6,0.57,4,0,2,0,0,0,Matches
510,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,26,1993,10.4,15,1.44,13,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
511,Maya Yoshida\Maya-Yoshida,jp JPN,DF,Southampton,30,1988,6.2,1,0.16,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
512,Ashley Young\Ashley-Young,eng ENG,DF,Manchester Utd,34,1985,10.6,25,2.36,11,13,0,0,1,0,0.00,0,0,0,0,0,0,Matches
513,Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DF,West Ham,34,1985,6.6,5,0.76,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
514,Wilfried Zaha\Wilfried-Zaha,ci CIV,MFFW,Crystal Palace,26,1992,35.4,104,2.93,62,0,22,5,14,8,0.23,4,0,0,1,2,1,Matches
515,Christoph Zimmermann\Christoph-Zimmermann,de GER,DF,Norwich City,26,1993,14.9,1,0.07,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
516,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,22,1996,14.2,31,2.19,30,1,0,0,0,3,0.21,3,0,0,0,0,0,Matches
517,Richairo Živković\Richairo-Zivkovic,nl NED,FWDF,Sheffield Utd,22,1996,0.8,2,2.50,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
518,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,24,1994,24.0,13,0.54,11,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
