,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
74,Todd Cantwell\Todd-Cantwell,eng ENG,FWMF,Norwich City,21,1998,26.7,72,2.70,57,0,6,3,6,5,0.19,5,0,0,0,0,0,Matches
75,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,31,1988,29.2,43,1.47,32,6,2,0,3,3,0.10,2,1,0,0,0,0,Matches
76,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,30,1989,6.8,20,2.95,19,0,0,0,1,7,1.03,7,0,0,0,0,0,Matches
77,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,25,1994,31.4,48,1.53,41,2,2,0,3,6,0.19,5,1,0,0,0,0,Matches
78,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,30,1989,27.6,5,0.18,5,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
79,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,22,1996,18.0,45,2.50,31,11,0,1,2,6,0.33,5,1,0,0,0,0,Matches
80,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,24,1994,10.2,17,1.66,16,1,0,0,0,2,0.20,2,0,0,0,0,0,Matches
81,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,24,1995,12.2,15,1.23,9,2,0,4,0,2,0.16,1,0,0,1,0,0,Matches
82,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,22,1996,26.4,62,2.35,53,7,1,1,0,7,0.27,7,0,0,0,0,0,Matches
83,Tahith Chong\Tahith-Chong,nl NED,FWMF,Manchester Utd,19,1999,0.4,2,4.86,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
84,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,21,1997,9.1,11,1.21,10,0,0,1,0,1,0.11,1,0,0,0,0,0,Matches
85,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,23,1996,19.5,11,0.57,10,0,0,1,0,1,0.05,1,0,0,0,0,0,Matches
86,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,29,1989,13.2,1,0.08,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
87,Leon Clarke\Leon-Clarke,eng ENG,MF,Sheffield Utd,34,1985,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
88,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,29,1989,10.7,30,2.81,24,2,0,2,2,1,0.09,0,0,0,1,0,0,Matches
89,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,26,1993,37.0,13,0.35,13,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
90,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,30,1988,19.8,22,1.11,15,2,3,2,0,2,0.10,1,0,0,1,0,0,Matches
91,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,19,2000,13.0,21,1.62,7,0,2,3,9,4,0.31,1,0,0,1,2,0,Matches
