,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
259,Jamal Lewis\Jamal-Lewis,nir NIR,DF,Norwich City,21,1998,24.6,1013,1281,79.1,16769,6193,15,59,25.4,868,1003,86.5,130,219,59.4,0,1.0,-1.0,15,41,20,8,115,Matches
260,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,25,1994,32.4,1661,1892,87.8,33691,10323,13,35,37.1,1193,1276,93.5,455,581,78.3,0,0.4,-0.4,4,80,1,0,92,Matches
261,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,Manchester Utd,26,1992,10.2,350,408,85.8,5145,991,15,25,60.0,298,333,89.5,37,50,74.0,0,0.9,-0.9,17,31,11,0,33,Matches
262,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,32,1986,19.1,374,542,69.0,12382,8067,3,3,100.0,169,171,98.8,202,368,54.9,0,0.0,0.0,0,9,0,0,0,Matches
263,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MFFW,Tottenham,23,1996,15.9,800,966,82.8,14804,3826,18,36,50.0,614,684,89.8,168,246,68.3,1,1.8,-0.8,27,89,25,2,98,Matches
264,Jürgen Locadia\Jurgen-Locadia,nl NED,MFFW,Brighton,25,1993,1.0,9,19,47.4,136,8,0,3,0.0,9,15,60.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
265,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Chelsea,23,1996,2.2,111,125,88.8,1769,338,3,4,75.0,93,104,89.4,15,17,88.2,1,0.3,+0.7,1,11,2,0,8,Matches
266,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,28,1990,5.3,116,151,76.8,2610,789,2,4,50.0,69,87,79.3,45,60,75.0,0,0.0,0.0,0,7,0,0,8,Matches
267,Shane Long\Shane-Long,ie IRL,FW,Southampton,32,1987,15.4,226,405,55.8,2946,786,15,42,35.7,196,323,60.7,15,40,37.5,2,1.4,+0.6,15,17,9,4,32,Matches
268,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,19,2000,6.4,193,237,81.4,3607,653,3,8,37.5,145,167,86.8,45,62,72.6,0,0.2,-0.2,3,12,4,1,13,Matches
269,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,21,1997,14.8,503,643,78.2,9904,2410,9,25,36.0,373,431,86.5,121,187,64.7,1,0.9,+0.1,15,41,4,1,52,Matches
270,Dejan Lovren\Dejan-Lovren,hr CRO,DF,Liverpool,30,1989,8.6,530,603,87.9,11986,3512,1,5,20.0,346,370,93.5,183,228,80.3,1,0.4,+0.6,1,43,4,0,34,Matches
271,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,30,1989,17.0,497,726,68.5,9807,4187,8,24,33.3,360,440,81.8,129,262,49.2,1,1.1,-0.1,12,46,16,4,96,Matches
272,David Luiz\David-Luiz,br BRA,DF,Arsenal,32,1987,30.2,1413,1636,86.4,34959,10072,10,21,47.6,808,858,94.2,595,757,78.6,1,1.0,0.0,4,92,9,1,84,Matches
273,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,21,1998,28.0,936,1154,81.1,19935,4575,10,24,41.7,624,730,85.5,302,400,75.5,2,1.4,+0.6,15,112,20,4,106,Matches
274,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,25,1994,26.3,946,1172,80.7,17987,3718,20,53,37.7,709,825,85.9,217,294,73.8,3,2.6,+0.4,19,73,30,5,88,Matches
275,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,MFFW,Brighton,20,1998,3.1,72,109,66.1,1280,301,0,2,0.0,60,75,80.0,12,32,37.5,0,0.3,-0.3,5,6,1,1,9,Matches
276,James Maddison\James-Maddison,eng ENG,MF,Leicester City,22,1996,29.2,1282,1674,76.6,25933,7769,22,57,38.6,892,1029,86.7,368,588,62.6,3,6.9,-3.9,84,155,44,6,238,Matches
277,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,26,1993,36.0,2022,2286,88.5,44669,11192,16,25,64.0,1318,1436,91.8,688,825,83.4,1,0.5,+0.5,15,158,3,0,102,Matches
278,Riyad Mahrez\Riyad-Mahrez,dz ALG,FWMF,Manchester City,28,1991,21.1,971,1145,84.8,17819,4213,15,40,37.5,756,832,90.9,200,273,73.3,9,9.2,-0.2,57,50,67,8,140,Matches
279,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,21,1997,14.4,768,931,82.5,13046,4473,17,36,47.2,625,702,89.0,126,193,65.3,2,1.5,+0.5,9,48,11,5,68,Matches
280,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,27,1992,29.3,886,1108,80.0,14848,3679,22,65,33.8,715,844,84.7,149,199,74.9,7,6.9,+0.1,56,61,63,10,126,Matches
281,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,25,1994,16.8,431,610,70.7,7129,2710,12,34,35.3,357,447,79.9,62,129,48.1,1,0.4,+0.6,6,27,5,4,61,Matches
282,Solly March\Solly-March,eng ENG,DFFW,Brighton,25,1994,11.9,420,573,73.3,7683,2180,3,27,11.1,332,386,86.0,85,160,53.1,1,0.6,+0.4,13,17,20,7,66,Matches
283,Pablo Marí\Pablo-Mari,es ESP,DF,Arsenal,25,1993,1.3,81,91,89.0,1746,362,0,2,0.0,50,51,98.0,31,38,81.6,0,0.0,0.0,0,4,0,0,4,Matches
284,Adrian Mariappa\Adrian-Mariappa,jm JAM,DF,Watford,32,1986,16.3,389,536,72.6,7734,3291,9,16,56.3,271,331,81.9,109,189,57.7,0,0.4,-0.4,4,29,3,3,61,Matches
285,Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,23,1995,27.2,539,669,80.6,7515,1633,24,62,38.7,464,541,85.8,51,66,77.3,5,4.2,+0.8,29,34,32,1,65,Matches
286,David Martin\David-Martin,eng ENG,GK,West Ham,33,1986,4.8,55,124,44.4,2858,2411,0,0,,7,7,100.0,48,117,41.0,0,0.0,0.0,0,2,0,0,0,Matches
287,Josh Martin\Josh-Martin,eng ENG,FW,Norwich City,17,2001,0.4,12,16,75.0,138,29,0,1,0.0,12,14,85.7,0,1,0.0,0,0.0,0.0,0,1,0,0,0,Matches
288,Martinelli\Martinelli,br BRA,FW,Arsenal,18,2001,7.4,86,138,62.3,1242,373,2,13,15.4,75,109,68.8,9,16,56.3,0,0.2,-0.2,2,2,6,1,11,Matches
289,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Arsenal,26,1992,7.6,159,233,68.2,4419,2483,4,5,80.0,88,89,98.9,67,139,48.2,0,0.0,0.0,0,5,0,0,0,Matches
290,Adam Masina\Adam-Masina,it ITA,DF,Watford,25,1994,19.2,548,893,61.4,11254,5745,11,46,23.9,393,498,78.9,144,349,41.3,0,0.6,-0.6,12,54,14,11,126,Matches
291,Arthur Masuaku\Arthur-Masuaku,cd COD,DF,West Ham,25,1993,10.2,463,578,80.1,7332,2943,12,33,36.4,389,441,88.2,62,104,59.6,1,0.9,+0.1,6,27,5,3,51,Matches
292,Juan Mata\Juan-Mata,es ESP,MFFW,Manchester Utd,31,1988,8.4,442,523,84.5,7006,1623,6,24,25.0,376,404,93.1,60,95,63.2,2,2.1,-0.1,19,41,18,2,46,Matches
293,Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,30,1988,15.6,950,1077,88.2,17328,4404,7,21,33.3,741,808,91.7,202,248,81.5,2,1.2,+0.8,16,102,11,1,88,Matches
294,Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,27,1991,7.8,448,514,87.2,10265,3136,1,3,33.3,285,311,91.6,162,200,81.0,0,0.0,0.0,0,44,2,0,39,Matches
295,Neal Maupay\Neal-Maupay,fr FRA,FW,Brighton,22,1996,29.7,518,661,78.4,8000,1399,27,60,45.0,413,501,82.4,78,100,78.0,2,2.5,-0.5,24,26,27,3,57,Matches
296,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,31,1987,33.6,1109,1422,78.0,19367,6071,33,86,38.4,873,1026,85.1,203,310,65.5,3,2.7,+0.3,33,121,24,3,140,Matches
297,Oliver McBurnie\Oliver-McBurnie,sco SCO,FW,Sheffield Utd,23,1996,22.9,399,614,65.0,5792,1536,16,49,32.7,343,500,68.6,40,65,61.5,0,1.5,-1.5,12,27,13,0,49,Matches
298,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,29,1989,27.0,411,779,52.8,16684,12471,1,2,50.0,142,146,97.3,268,631,42.5,0,0.0,0.0,1,27,1,0,0,Matches
299,James McCarthy\James-McCarthy,ie IRL,MF,Crystal Palace,28,1990,17.7,586,758,77.3,11782,3229,29,47,61.7,410,471,87.0,147,240,61.3,0,0.8,-0.8,15,59,8,0,75,Matches
300,John McGinn\John-McGinn,sco SCO,MF,Aston Villa,24,1994,24.7,555,734,75.6,13071,3737,13,36,36.1,337,409,82.4,205,289,70.9,2,2.4,-0.4,37,66,28,8,107,Matches
301,David McGoldrick\David-McGoldrick,ie IRL,FW,Sheffield Utd,31,1987,20.2,475,623,76.2,7899,1289,8,30,26.7,394,483,81.6,73,110,66.4,2,2.3,-0.3,16,27,9,3,36,Matches
302,Michael McGovern\Michael-McGovern,nir NIR,GK,Norwich City,35,1984,1.8,31,51,60.8,826,541,2,2,100.0,16,16,100.0,13,33,39.4,0,0.0,0.0,0,0,0,0,0,Matches
303,Kenny McLean\Kenny-McLean,sco SCO,MF,Norwich City,27,1992,32.0,1308,1666,78.5,23106,7683,33,72,45.8,1027,1201,85.5,248,393,63.1,1,1.8,-0.8,25,130,19,5,161,Matches
304,Dwight McNeil\Dwight-McNeil,eng ENG,MF,Burnley,19,1999,36.1,837,1228,68.2,16189,5136,16,84,19.0,619,749,82.6,202,395,51.1,6,6.4,-0.4,51,87,38,25,138,Matches
305,Scott McTominay\Scott-McTominay,sco SCO,MF,Manchester Utd,22,1996,19.6,816,995,82.0,16600,4078,10,27,37.0,586,684,85.7,220,284,77.5,1,0.7,+0.3,14,88,11,2,88,Matches
306,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,29,1989,32.0,875,1172,74.7,20667,7937,7,19,36.8,527,598,88.1,341,555,61.4,1,0.7,+0.3,6,59,1,0,64,Matches
307,Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,25,1994,16.6,1108,1285,86.2,19843,5799,12,37,32.4,927,1014,91.4,169,234,72.2,2,1.4,+0.6,20,55,38,20,153,Matches
308,Nampalys Mendy\Nampalys-Mendy,fr FRA,MF,Leicester City,27,1992,3.2,194,212,91.5,3423,770,4,6,66.7,154,164,93.9,36,42,85.7,0,0.1,-0.1,3,22,1,0,11,Matches
309,Chris Mepham\Chris-Mepham,wal WAL,DF,Bournemouth,21,1997,10.1,414,483,85.7,8787,2807,3,8,37.5,293,322,91.0,118,153,77.1,0,0.1,-0.1,1,16,0,0,24,Matches
310,Max Meyer\Max-Meyer,de GER,MFFW,Crystal Palace,23,1995,7.3,160,213,75.1,2199,607,10,26,38.5,137,161,85.1,13,26,50.0,0,0.7,-0.7,5,12,8,2,18,Matches
311,Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,28,1991,27.9,1158,1503,77.0,24743,8150,19,36,52.8,793,904,87.7,346,563,61.5,1,2.0,-1.0,27,105,9,0,169,Matches
312,James Milner\James-Milner,eng ENG,MFDF,Liverpool,33,1986,9.1,562,662,84.9,11281,2780,3,16,18.8,416,454,91.6,143,192,74.5,2,0.6,+1.4,7,51,10,1,57,Matches
313,Yerry Mina\Yerry-Mina,co COL,DF,Everton,24,1994,25.4,1070,1251,85.5,25554,7200,7,17,41.2,628,704,89.2,435,530,82.1,1,0.3,+0.7,4,51,1,0,65,Matches
314,Takumi Minamino\Takumi-Minamino,jp JPN,FWMF,Liverpool,24,1995,2.0,71,81,87.7,1022,129,4,5,80.0,59,67,88.1,8,9,88.9,0,0.0,0.0,0,2,3,1,5,Matches
315,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Aston Villa,26,1993,31.2,1010,1265,79.8,24924,7809,7,28,25.0,564,611,92.3,439,626,70.1,2,0.5,+1.5,6,62,4,1,50,Matches
316,Tyrick Mitchell\Tyrick-Mitchell,eng ENG,DF,Crystal Palace,19,1999,1.2,54,67,80.6,815,425,0,2,0.0,48,54,88.9,6,11,54.5,0,0.1,-0.1,3,5,1,1,7,Matches
317,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,FW,Arsenal,30,1989,1.2,58,77,75.3,935,218,2,7,28.6,46,54,85.2,10,16,62.5,0,0.2,-0.2,2,3,2,0,7,Matches
318,Nacho Monreal\Nacho-Monreal,es ESP,DF,Arsenal,33,1986,3.0,182,201,90.5,2676,1122,4,6,66.7,167,177,94.4,11,18,61.1,0,0.3,-0.3,3,8,0,0,11,Matches
319,Martín Montoya\Martin-Montoya,es ESP,DF,Brighton,28,1991,21.1,1006,1255,80.2,17672,6217,11,54,20.4,827,950,87.1,168,251,66.9,1,1.5,-0.5,20,41,34,18,137,Matches
320,Simon Moore\Simon-Moore,eng ENG,GK,Sheffield Utd,29,1990,2.0,19,48,39.6,946,736,0,0,,4,4,100.0,15,44,34.1,0,0.0,0.0,0,0,0,0,0,Matches
321,Aaron Mooy\Aaron-Mooy,au AUS,MFFW,Brighton,28,1990,23.0,815,1064,76.6,14170,4135,17,59,28.8,652,738,88.3,146,267,54.7,2,3.6,-1.6,38,80,30,7,125,Matches
322,Wesley Moraes\Wesley-Moraes,br BRA,FW,Aston Villa,22,1996,19.8,277,377,73.5,4420,608,11,25,44.0,229,302,75.8,37,50,74.0,1,0.9,+0.1,11,20,2,0,12,Matches
323,Wes Morgan\Wes-Morgan,jm JAM,DF,Leicester City,35,1984,3.8,187,201,93.0,3684,831,2,3,66.7,142,148,95.9,43,50,86.0,0,0.0,0.0,0,2,0,0,7,Matches
324,Ravel Morrison\Ravel-Morrison,eng ENG,MF,Sheffield Utd,26,1993,0.1,4,6,66.7,53,30,0,1,0.0,4,5,80.0,0,0,,0,0.0,0.0,0,2,0,0,1,Matches
325,Mason Mount\Mason-Mount,eng ENG,MFFW,Chelsea,20,1999,30.3,1064,1317,80.8,17075,4513,47,88,53.4,860,975,88.2,157,254,61.8,4,3.7,+0.3,49,100,33,5,133,Matches
326,Lucas Moura\Lucas-Moura,br BRA,FWMF,Tottenham,26,1992,23.9,562,768,73.2,8436,2411,14,53,26.4,487,601,81.0,61,114,53.5,4,2.6,+1.4,32,41,32,3,80,Matches
327,Lys Mousset\Lys-Mousset,fr FRA,FW,Sheffield Utd,23,1996,13.8,176,239,73.6,2351,394,5,20,25.0,157,197,79.7,14,22,63.6,4,2.4,+1.6,11,9,5,1,15,Matches
328,João Moutinho\Joao-Moutinho,pt POR,MF,Wolves,32,1986,34.2,1599,2005,79.8,35265,8716,17,55,30.9,1050,1179,89.1,532,771,69.0,6,6.1,-0.1,80,152,33,12,238,Matches
329,Glenn Murray\Glenn-Murray,eng ENG,FW,Brighton,35,1983,8.8,116,177,65.5,1654,304,5,16,31.3,98,134,73.1,13,27,48.1,1,0.5,+0.5,4,7,4,0,11,Matches
330,Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Arsenal,27,1992,13.4,663,790,83.9,15630,4622,3,18,16.7,392,440,89.1,268,332,80.7,1,0.0,+1.0,1,48,1,0,42,Matches
331,Yoshinori Mutō\Yoshinori-Muto,jp JPN,FWMF,Newcastle Utd,27,1992,2.4,26,31,83.9,390,132,1,2,50.0,22,25,88.0,3,4,75.0,0,0.1,-0.1,2,1,2,1,5,Matches
332,Georges-Kévin N'Koudou\Georges-Kevin-NKoudou,fr FRA,FW,Tottenham,24,1995,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
333,Marvelous Nakamba\Marvelous-Nakamba,zw ZIM,MF,Aston Villa,25,1994,20.2,662,784,84.4,12407,2611,11,24,45.8,514,583,88.2,137,177,77.4,0,0.5,-0.5,11,37,4,0,39,Matches
334,Wilfred Ndidi\Wilfred-Ndidi,ng NGA,MF,Leicester City,22,1996,28.7,1384,1611,85.9,25985,5500,32,59,54.2,1050,1179,89.1,302,373,81.0,1,0.4,+0.6,9,137,4,0,71,Matches
335,Tanguy Ndombele\Tanguy-Ndombele,fr FRA,MF,Tottenham,22,1996,11.2,532,629,84.6,9407,2733,17,31,54.8,419,474,88.4,96,124,77.4,2,1.3,+0.7,13,47,10,0,61,Matches
336,Reiss Nelson\Reiss-Nelson,eng ENG,FW,Arsenal,19,1999,6.8,180,225,80.0,2811,777,6,16,37.5,148,169,87.6,26,40,65.0,0,0.6,-0.6,9,8,8,3,25,Matches
337,Pedro Neto\Pedro-Neto,pt POR,FWMF,Wolves,19,2000,9.9,292,382,76.4,4697,916,14,37,37.8,232,274,84.7,46,71,64.8,3,2.4,+0.6,15,15,8,4,34,Matches
338,Rúben Neves\Ruben-Neves,pt POR,MF,Wolves,22,1997,33.3,1560,1939,80.5,37636,8968,11,32,34.4,938,1080,86.9,611,827,73.9,2,1.9,+0.1,26,175,24,2,151,Matches
339,Jeremy Ngakia\Jeremy-Ngakia,eng ENG,DF,West Ham,18,2000,4.9,89,161,55.3,1410,740,0,6,0.0,77,109,70.6,12,46,26.1,0,0.0,0.0,0,3,2,1,14,Matches
340,Oumar Niasse\Oumar-Niasse,sn SEN,FW,Everton,29,1990,0.2,3,5,60.0,40,0,0,0,,3,4,75.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
341,Eddie Nketiah\Eddie-Nketiah,eng ENG,FW,Arsenal,20,1999,6.7,80,104,76.9,1204,133,0,7,0.0,71,86,82.6,9,11,81.8,0,0.4,-0.4,4,5,0,0,4,Matches
342,Mark Noble\Mark-Noble,eng ENG,MF,West Ham,32,1987,27.8,1103,1368,80.6,22448,6386,17,55,30.9,771,897,86.0,315,416,75.7,3,2.5,+0.5,33,120,26,3,147,Matches
343,Oliver Norwood\Oliver-Norwood,nir NIR,MF,Sheffield Utd,28,1991,34.2,1658,2140,77.5,38732,11258,22,48,45.8,1082,1203,89.9,554,889,62.3,1,4.1,-3.1,50,229,36,12,257,Matches
344,Ørjan Nyland\Orjan-Nyland,no NOR,GK,Aston Villa,28,1990,6.0,105,182,57.7,3880,2799,0,0,,37,38,97.4,68,144,47.2,0,0.0,0.0,0,3,0,0,1,Matches
345,Jack O'Connell\Jack-OConnell,eng ENG,DF,Sheffield Utd,25,1994,32.4,1156,1555,74.3,24611,9775,9,43,20.9,822,956,86.0,325,556,58.5,1,2.2,-1.2,10,100,23,4,132,Matches
346,Michael Obafemi\Michael-Obafemi,ie IRL,FW,Southampton,19,2000,7.4,112,144,77.8,1435,216,9,20,45.0,92,112,82.1,11,12,91.7,2,1.2,+0.8,10,2,2,0,5,Matches
347,Angelo Ogbonna\Angelo-Ogbonna,it ITA,DF,West Ham,31,1988,29.0,680,868,78.3,14994,4941,4,14,28.6,452,517,87.4,224,337,66.5,0,0.1,-0.1,2,44,2,0,38,Matches
348,Divock Origi\Divock-Origi,be BEL,FW,Liverpool,24,1995,7.2,142,195,72.8,2271,327,6,8,75.0,117,149,78.5,19,38,50.0,1,0.2,+0.8,6,5,9,2,12,Matches
349,Ben Osborn\Ben-Osborn,eng ENG,MFDF,Sheffield Utd,24,1994,6.6,179,259,69.1,2906,738,6,18,33.3,144,175,82.3,29,66,43.9,0,1.0,-1.0,7,11,5,2,16,Matches
350,Nicolás Otamendi\Nicolas-Otamendi,ar ARG,DF,Manchester City,31,1988,19.1,1380,1488,92.7,29823,7222,6,17,35.3,932,980,95.1,442,491,90.0,0,0.2,-0.2,3,64,0,0,41,Matches
351,Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,25,1993,15.7,573,723,79.3,11614,2460,10,30,33.3,419,494,84.8,144,199,72.4,0,1.3,-1.3,16,80,30,6,77,Matches
352,Mesut Özil\Mesut-Ozil,de GER,MF,Arsenal,30,1988,16.0,754,891,84.6,12499,3375,12,31,38.7,626,675,92.7,116,185,62.7,2,2.3,-0.3,36,59,25,1,111,Matches
353,Emerson Palmieri\Emerson-Palmieri,it ITA,DF,Chelsea,24,1994,11.3,704,850,82.8,11332,3118,13,24,54.2,608,685,88.8,83,141,58.9,0,1.4,-1.4,18,27,8,5,55,Matches
354,Sokratis Papastathopoulos\Sokratis-Papastathopoulos,gr GRE,DF,Arsenal,31,1988,18.8,873,973,89.7,19136,5507,8,15,53.3,582,608,95.7,283,350,80.9,0,0.2,-0.2,1,27,1,0,24,Matches
355,Troy Parrott\Troy-Parrott,ie IRL,MF,Tottenham,17,2002,0.1,5,5,100.0,92,25,0,0,,5,5,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
356,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,31,1988,37.0,540,841,64.2,22021,14992,2,2,100.0,146,148,98.6,392,691,56.7,0,0.0,0.0,0,5,0,0,0,Matches
357,Pedro\Pedro,es ESP,FW,Chelsea,32,1987,7.3,257,329,78.1,4220,967,6,18,33.3,214,252,84.9,37,59,62.7,1,0.8,+0.2,18,8,12,1,24,Matches
358,João Pedro\Joao-Pedro,br BRA,FW,Watford,17,2001,0.2,8,11,72.7,113,20,1,2,50.0,7,8,87.5,0,1,0.0,0,0.0,0.0,0,1,0,0,1,Matches
359,Nicolas Pépé\Nicolas-Pepe,ci CIV,FW,Arsenal,24,1995,21.5,574,754,76.1,9089,2142,13,43,30.2,478,546,87.5,83,165,50.3,6,3.9,+2.1,35,19,30,8,67,Matches
360,Andreas Pereira\Andreas-Pereira,br BRA,MFFW,Manchester Utd,23,1996,16.5,566,770,73.5,9868,2763,13,37,35.1,454,544,83.5,99,189,52.4,3,3.7,-0.7,31,54,17,4,83,Matches
361,Ricardo Pereira\Ricardo-Pereira,pt POR,DF,Leicester City,25,1993,28.0,1513,1875,80.7,25283,9727,14,66,21.2,1293,1479,87.4,206,330,62.4,2,3.8,-1.8,27,96,38,9,218,Matches
362,Roberto Pereyra\Roberto-Pereyra,ar ARG,FWMF,Watford,28,1991,17.3,486,594,81.8,7727,1724,20,35,57.1,396,455,87.0,70,104,67.3,0,1.8,-1.8,17,31,14,4,50,Matches
363,Ayoze Pérez\Ayoze-Perez,es ESP,MFFW,Leicester City,26,1993,21.9,609,765,79.6,8576,2146,29,72,40.3,523,607,86.2,57,86,66.3,4,3.7,+0.3,29,35,30,8,71,Matches
364,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,25,1994,37.0,862,1337,64.5,30884,21294,18,18,100.0,406,407,99.8,438,912,48.0,0,0.1,-0.1,1,49,4,0,2,Matches
365,Brandon Pierrick\Brandon-Pierrick,eng ENG,DFFW,Crystal Palace,17,2001,0.2,5,9,55.6,65,6,1,3,33.3,4,5,80.0,0,1,0.0,0,0.1,-0.1,1,0,1,0,1,Matches
366,Erik Pieters\Erik-Pieters,nl NED,DFMF,Burnley,30,1988,19.9,643,871,73.8,11251,4357,11,40,27.5,521,615,84.7,111,216,51.4,3,1.9,+1.1,15,34,13,5,94,Matches
367,Daniel Podence\Daniel-Podence,pt POR,FWMF,Wolves,23,1995,2.9,68,96,70.8,971,202,4,7,57.1,59,74,79.7,5,15,33.3,0,0.5,-0.5,5,3,3,0,8,Matches
368,Paul Pogba\Paul-Pogba,fr FRA,MF,Manchester Utd,26,1993,11.4,756,887,85.2,15297,4160,12,31,38.7,560,627,89.3,184,229,80.3,3,2.6,+0.4,26,96,26,1,96,Matches
369,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,27,1992,37.0,519,1152,45.1,23764,18806,1,2,50.0,123,127,96.9,395,1023,38.6,0,0.6,-0.6,4,39,1,0,2,Matches
370,Dennis Praet\Dennis-Praet,be BEL,MF,Leicester City,25,1994,12.4,439,532,82.5,7547,1886,12,27,44.4,350,403,86.8,77,102,75.5,2,0.7,+1.3,8,33,10,3,39,Matches
371,Sebastian Prödl\Sebastian-Prodl,at AUT,DF,Watford,32,1987,0.6,6,10,60.0,81,55,0,0,,6,7,85.7,0,3,0.0,0,0.0,0.0,0,0,0,0,1,Matches
372,Davy Pröpper\Davy-Propper,nl NED,MF,Brighton,27,1991,31.2,1477,1777,83.1,28623,8209,22,64,34.4,1121,1278,87.7,334,435,76.8,2,2.0,0.0,27,166,27,6,194,Matches
373,Teemu Pukki\Teemu-Pukki,fi FIN,FW,Norwich City,29,1990,31.2,415,512,81.1,5760,672,21,49,42.9,348,403,86.4,46,60,76.7,3,3.3,-0.3,28,13,6,2,18,Matches
374,Christian Pulisic\Christian-Pulisic,us USA,FW,Chelsea,20,1998,17.9,518,659,78.6,7945,1518,13,40,32.5,444,523,84.9,61,96,63.5,3,3.1,-0.1,27,26,26,2,58,Matches
375,Ignacio Pussetto\Ignacio-Pussetto,ar ARG,FWDF,Watford,23,1995,0.8,18,31,58.1,282,145,1,1,100.0,13,19,68.4,4,11,36.4,0,0.0,0.0,0,1,1,0,3,Matches
376,Domingos Quina\Domingos-Quina,pt POR,MF,Watford,19,1999,0.2,9,9,100.0,135,21,0,0,,8,8,100.0,1,1,100.0,0,0.0,0.0,0,0,1,0,1,Matches
377,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,21,1998,36.0,639,1103,57.9,21328,14385,2,4,50.0,322,323,99.7,315,776,40.6,1,0.0,+1.0,1,15,0,0,3,Matches
378,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,32,1987,2.0,22,40,55.0,1244,1093,0,0,,2,2,100.0,20,38,52.6,0,0.0,0.0,0,3,0,0,0,Matches
379,Marcus Rashford\Marcus-Rashford,eng ENG,FW,Manchester Utd,21,1997,27.4,706,920,76.7,11460,3116,22,60,36.7,590,715,82.5,94,145,64.8,7,4.5,+2.5,32,54,62,4,132,Matches
380,Nathan Redmond\Nathan-Redmond,eng ENG,MFFW,Southampton,25,1994,29.7,740,1006,73.6,12502,2943,28,67,41.8,588,724,81.2,124,215,57.7,4,3.5,+0.5,37,44,35,5,96,Matches
381,Pepe Reina\Pepe-Reina,es ESP,GK,Aston Villa,36,1982,11.0,228,331,68.9,8205,5484,3,3,100.0,81,82,98.8,144,246,58.5,0,0.0,0.0,0,1,0,0,1,Matches
382,Declan Rice\Declan-Rice,eng ENG,MF,West Ham,20,1999,36.0,1376,1605,85.7,28078,7066,30,60,50.0,967,1060,91.2,379,485,78.1,2,1.4,+0.6,21,148,17,9,116,Matches
383,Richarlison\Richarlison,br BRA,FW,Everton,22,1997,33.1,513,786,65.3,8398,2078,19,84,22.6,412,555,74.2,82,147,55.8,3,5.2,-2.2,31,28,24,2,68,Matches
384,Diego Rico\Diego-Rico,es ESP,DF,Bournemouth,26,1993,24.9,972,1427,68.1,18522,9948,23,78,29.5,740,914,81.0,209,435,48.0,3,2.6,+0.4,30,104,30,12,226,Matches
385,Jaïro Riedewald\Jairo-Riedewald,nl NED,DFMF,Crystal Palace,22,1996,8.3,290,387,74.9,4817,2225,9,15,60.0,241,291,82.8,40,81,49.4,0,0.4,-0.4,2,32,6,1,50,Matches
386,Matt Ritchie\Matt-Ritchie,sco SCO,DFMF,Newcastle Utd,29,1989,13.6,445,642,69.3,8587,3464,9,34,26.5,338,392,86.2,98,216,45.4,1,2.3,-1.3,33,33,15,7,93,Matches
387,Roberto\Roberto,es ESP,GK,West Ham,33,1986,7.6,113,232,48.7,4456,3562,1,1,100.0,38,38,100.0,74,193,38.3,0,0.0,0.0,0,0,0,0,0,Matches
