,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
199,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,eng Premier League,29,1989,15.0,19,1.26,12,0,1,1,5,1,0.07,0,0,0,0,1,0,Matches
200,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,eng Premier League,21,1997,23.1,77,3.33,59,0,8,5,5,15,0.65,12,0,2,1,0,0,Matches
201,Antonio Barragán\Antonio-Barragan,es ESP,DF,Betis,es La Liga,32,1987,7.1,19,2.67,16,1,2,0,0,3,0.42,2,0,1,0,0,0,Matches
202,Antonio Barreca\Antonio-Barreca,it ITA,DFMF,Genoa,it Serie A,24,1995,11.4,13,1.14,9,3,0,1,0,1,0.09,1,0,0,0,0,0,Matches
203,Leandro Barreiro Martins\Leandro-Barreiro-Martins,lu LUX,MF,Mainz 05,de Bundesliga,19,2000,10.4,14,1.34,12,1,0,0,1,3,0.29,3,0,0,0,0,0,Matches
204,Ander Barrenetxea\Ander-Barrenetxea,es ESP,FWMF,Real Sociedad,es La Liga,17,2001,4.9,19,3.87,17,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
205,Édgar Barreto\Edgar-Barreto,py PAR,MF,Sampdoria,it Serie A,35,1984,1.0,2,2.00,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
206,Musa Barrow\Musa-Barrow,gm GAM,FWMF,Bologna,it Serie A,20,1998,14.5,74,5.46,43,9,14,6,2,6,0.44,4,0,1,1,0,0,Matches
207,Musa Barrow\Musa-Barrow,gm GAM,FWMF,Atalanta,it Serie A,20,1998,2.1,12,5.68,7,0,2,2,1,2,0.95,2,0,0,0,0,0,Matches
208,Fin Bartels\Fin-Bartels,de GER,FWMF,Werder Bremen,de Bundesliga,32,1987,3.8,11,2.91,10,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
209,Marc Bartra\Marc-Bartra,es ESP,DFMF,Betis,es La Liga,28,1991,28.0,12,0.43,10,0,0,2,0,1,0.04,0,0,0,1,0,0,Matches
210,Daniele Baselli\Daniele-Baselli,it ITA,MF,Torino,it Serie A,27,1992,14.2,28,1.97,18,10,0,0,0,2,0.14,1,1,0,0,0,0,Matches
