,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
277,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,25,1994,14.8,0,0,0,1,0,0,0.0,0.07,0.00,0.00,,0.0,0.0,0.04,0.0,0.0,Matches
278,Solly March\Solly-March,eng ENG,FWDF,Brighton,25,1994,10.7,0,0,0,20,8,1,40.0,1.87,0.75,0.00,0.00,1.2,1.2,0.06,-1.2,-1.2,Matches
279,Pablo Marí\Pablo-Mari,es ESP,DF,Arsenal,25,1993,1.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
280,Adrian Mariappa\Adrian-Mariappa,jm JAM,DF,Watford,32,1986,14.8,0,0,0,3,0,0,0.0,0.20,0.00,0.00,,0.3,0.3,0.10,-0.3,-0.3,Matches
281,Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,23,1995,24.3,15,0,1,68,33,0,48.5,2.80,1.36,0.22,0.45,9.6,8.9,0.13,+5.4,+6.1,Matches
282,David Martin\David-Martin,eng ENG,GK,West Ham,33,1986,4.8,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
283,Josh Martin\Josh-Martin,eng ENG,FW,Norwich City,17,2001,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
284,Martinelli\Martinelli,br BRA,FW,Arsenal,18,2001,7.4,3,0,0,12,5,0,41.7,1.63,0.68,0.25,0.60,2.3,2.3,0.19,+0.7,+0.7,Matches
285,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Arsenal,26,1992,4.6,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
286,Adam Masina\Adam-Masina,it ITA,DF,Watford,25,1994,17.7,1,0,0,13,3,1,23.1,0.73,0.17,0.08,0.33,0.5,0.5,0.04,+0.5,+0.5,Matches
287,Arthur Masuaku\Arthur-Masuaku,cd COD,DF,West Ham,25,1993,10.1,0,0,0,5,2,0,40.0,0.49,0.20,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1,Matches
288,Juan Mata\Juan-Mata,es ESP,MFFW,Manchester Utd,31,1988,8.4,0,0,0,9,1,2,11.1,1.07,0.12,0.00,0.00,1.2,1.2,0.14,-1.2,-1.2,Matches
289,Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,30,1988,13.5,0,0,0,7,2,0,28.6,0.52,0.15,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,Matches
290,Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,27,1991,7.8,1,0,0,4,1,0,25.0,0.51,0.13,0.25,1.00,0.4,0.4,0.10,+0.6,+0.6,Matches
291,Neal Maupay\Neal-Maupay,fr FRA,FW,Brighton,22,1996,27.6,9,1,2,83,33,0,39.8,3.01,1.20,0.10,0.24,10.7,9.1,0.11,-1.7,-1.1,Matches
292,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,31,1987,31.3,0,0,0,28,6,0,21.4,0.90,0.19,0.00,0.00,2.4,2.4,0.08,-2.4,-2.4,Matches
293,Oliver McBurnie\Oliver-McBurnie,sco SCO,FW,Sheffield Utd,23,1996,20.6,5,0,0,45,22,0,48.9,2.19,1.07,0.11,0.23,7.9,7.9,0.18,-2.9,-2.9,Matches
294,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,29,1989,23.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
295,James McCarthy\James-McCarthy,ie IRL,MF,Crystal Palace,28,1990,15.3,0,0,0,9,2,0,22.2,0.59,0.13,0.00,0.00,0.4,0.4,0.04,-0.4,-0.4,Matches
296,John McGinn\John-McGinn,sco SCO,MF,Aston Villa,24,1994,21.1,3,0,0,45,16,0,35.6,2.14,0.76,0.07,0.19,3.0,3.0,0.07,0.0,0.0,Matches
297,David McGoldrick\David-McGoldrick,ie IRL,FW,Sheffield Utd,31,1987,17.7,0,0,0,40,17,0,42.5,2.26,0.96,0.00,0.00,5.9,5.9,0.15,-5.9,-5.9,Matches
298,Michael McGovern\Michael-McGovern,nir NIR,GK,Norwich City,35,1984,1.8,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
299,Kenny McLean\Kenny-McLean,sco SCO,MF,Norwich City,27,1992,29.8,1,0,0,29,10,2,34.5,0.97,0.34,0.03,0.10,1.5,1.5,0.05,-0.5,-0.5,Matches
300,Dwight McNeil\Dwight-McNeil,eng ENG,MF,Burnley,19,1999,33.1,2,0,0,42,13,9,31.0,1.27,0.39,0.05,0.15,2.2,2.2,0.05,-0.2,-0.2,Matches
301,Scott McTominay\Scott-McTominay,sco SCO,MF,Manchester Utd,22,1996,18.6,4,0,0,30,10,0,33.3,1.61,0.54,0.13,0.40,1.5,1.5,0.05,+2.5,+2.5,Matches
302,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,29,1989,32.0,1,0,0,18,5,0,27.8,0.56,0.16,0.06,0.20,1.6,1.6,0.09,-0.6,-0.6,Matches
303,Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,25,1994,15.0,0,0,0,8,1,0,12.5,0.53,0.07,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,Matches
304,Nampalys Mendy\Nampalys-Mendy,fr FRA,MF,Leicester City,27,1992,3.0,0,0,0,1,1,0,100.0,0.33,0.33,0.00,0.00,0.0,0.0,0.02,0.0,0.0,Matches
305,Chris Mepham\Chris-Mepham,wal WAL,DF,Bournemouth,21,1997,10.1,1,0,0,6,1,0,16.7,0.59,0.10,0.17,1.00,0.6,0.6,0.10,+0.4,+0.4,Matches
306,Max Meyer\Max-Meyer,de GER,MFFW,Crystal Palace,23,1995,7.1,0,0,0,9,2,0,22.2,1.27,0.28,0.00,0.00,0.7,0.7,0.08,-0.7,-0.7,Matches
307,Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,28,1991,26.0,3,2,2,28,6,10,21.4,1.08,0.23,0.04,0.17,2.4,0.9,0.03,+0.6,+0.1,Matches
308,James Milner\James-Milner,eng ENG,MFDF,Liverpool,33,1986,9.1,2,2,2,10,1,0,10.0,1.09,0.11,0.00,0.00,2.0,0.5,0.05,0.0,-0.5,Matches
309,Yerry Mina\Yerry-Mina,co COL,DF,Everton,24,1994,24.0,2,0,0,29,10,0,34.5,1.21,0.42,0.07,0.20,2.6,2.6,0.09,-0.6,-0.6,Matches
310,Takumi Minamino\Takumi-Minamino,jp JPN,FWMF,Liverpool,24,1995,1.7,0,0,0,4,0,0,0.0,2.37,0.00,0.00,,0.9,0.9,0.22,-0.9,-0.9,Matches
311,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Aston Villa,26,1993,27.2,2,0,0,9,4,0,44.4,0.33,0.15,0.22,0.50,1.1,1.1,0.12,+0.9,+0.9,Matches
312,Tyrick Mitchell\Tyrick-Mitchell,eng ENG,DF,Crystal Palace,19,1999,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
313,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,FW,Arsenal,30,1989,1.2,0,0,0,2,0,0,0.0,1.61,0.00,0.00,,0.2,0.2,0.11,-0.2,-0.2,Matches
314,Nacho Monreal\Nacho-Monreal,es ESP,DF,Arsenal,33,1986,3.0,0,0,0,1,0,0,0.0,0.33,0.00,0.00,,0.1,0.1,0.08,-0.1,-0.1,Matches
315,Martín Montoya\Martin-Montoya,es ESP,DF,Brighton,28,1991,20.2,0,0,0,8,3,0,37.5,0.40,0.15,0.00,0.00,1.3,1.3,0.16,-1.3,-1.3,Matches
316,Simon Moore\Simon-Moore,eng ENG,GK,Sheffield Utd,29,1990,2.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
317,Aaron Mooy\Aaron-Mooy,au AUS,MFFW,Brighton,28,1990,21.0,2,0,0,32,8,0,25.0,1.52,0.38,0.06,0.25,2.0,2.0,0.06,0.0,0.0,Matches
318,Wesley Moraes\Wesley-Moraes,br BRA,FW,Aston Villa,22,1996,19.8,5,0,1,35,17,0,48.6,1.77,0.86,0.14,0.29,5.2,4.3,0.12,-0.2,+0.7,Matches
319,Wes Morgan\Wes-Morgan,jm JAM,DF,Leicester City,35,1984,1.8,0,0,0,1,1,0,100.0,0.54,0.54,0.00,0.00,0.0,0.0,0.05,0.0,0.0,Matches
320,Ravel Morrison\Ravel-Morrison,eng ENG,MF,Sheffield Utd,26,1993,0.1,0,0,0,1,0,0,0.0,6.92,0.00,0.00,,0.0,0.0,0.04,0.0,0.0,Matches
321,Mason Mount\Mason-Mount,eng ENG,MFFW,Chelsea,20,1999,29.8,6,0,0,75,28,11,37.3,2.52,0.94,0.08,0.21,6.4,6.4,0.09,-0.4,-0.4,Matches
322,Lucas Moura\Lucas-Moura,br BRA,FWMF,Tottenham,26,1992,21.4,4,0,0,49,12,0,24.5,2.29,0.56,0.08,0.33,5.6,5.6,0.11,-1.6,-1.6,Matches
323,Lys Mousset\Lys-Mousset,fr FRA,FW,Sheffield Utd,23,1996,13.0,6,0,0,34,9,0,26.5,2.62,0.69,0.18,0.67,4.2,4.2,0.12,+1.8,+1.8,Matches
324,João Moutinho\Joao-Moutinho,pt POR,MF,Wolves,32,1986,32.0,1,0,0,22,6,4,27.3,0.69,0.19,0.05,0.17,0.8,0.8,0.04,+0.2,+0.2,Matches
325,Glenn Murray\Glenn-Murray,eng ENG,FW,Brighton,35,1983,8.0,1,0,0,14,4,0,28.6,1.75,0.50,0.07,0.25,2.1,2.1,0.15,-1.1,-1.1,Matches
326,Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Arsenal,27,1992,12.4,0,0,0,9,2,0,22.2,0.73,0.16,0.00,0.00,0.7,0.7,0.08,-0.7,-0.7,Matches
327,Yoshinori Mutō\Yoshinori-Muto,jp JPN,FWMF,Newcastle Utd,27,1992,2.4,0,0,0,1,0,0,0.0,0.42,0.00,0.00,,0.1,0.1,0.09,-0.1,-0.1,Matches
328,Georges-Kévin N'Koudou\Georges-Kevin-NKoudou,fr FRA,FW,Tottenham,24,1995,0.0,0,0,0,1,0,0,0.0,30.00,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
329,Marvelous Nakamba\Marvelous-Nakamba,zw ZIM,MF,Aston Villa,25,1994,19.6,0,0,0,7,1,0,14.3,0.36,0.05,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,Matches
330,Wilfred Ndidi\Wilfred-Ndidi,ng NGA,MF,Leicester City,22,1996,25.9,2,0,0,23,2,0,8.7,0.89,0.08,0.09,1.00,1.8,1.8,0.08,+0.2,+0.2,Matches
331,Tanguy Ndombele\Tanguy-Ndombele,fr FRA,MF,Tottenham,22,1996,10.7,2,0,0,9,4,0,44.4,0.84,0.37,0.22,0.50,0.4,0.4,0.04,+1.6,+1.6,Matches
332,Reiss Nelson\Reiss-Nelson,eng ENG,FW,Arsenal,19,1999,6.1,0,0,0,9,3,0,33.3,1.48,0.49,0.00,0.00,0.6,0.6,0.07,-0.6,-0.6,Matches
333,Pedro Neto\Pedro-Neto,pt POR,FWMF,Wolves,19,2000,9.1,3,0,0,16,5,0,31.3,1.76,0.55,0.19,0.60,1.9,1.9,0.12,+1.1,+1.1,Matches
