,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
2180,Alexis Saelemaekers\Alexis-Saelemaekers,be BEL,FWMF,Milan,it Serie A,20,1999,6.3,1,0,0,8,2,0,25.0,1.27,0.32,0.13,0.50,0.6,0.6,0.08,+0.4,+0.4,Matches
2181,Jorge Sáenz\Jorge-Saenz,es ESP,DFFW,Celta Vigo,es La Liga,22,1996,4.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
2182,Nuri Şahin\Nuri-Sahin,tr TUR,MF,Werder Bremen,de Bundesliga,30,1988,13.9,0,0,0,11,1,2,9.1,0.79,0.07,0.00,0.00,0.3,0.3,0.03,-0.3,-0.3,Matches
2183,Wesley Saïd\Wesley-Said,fr FRA,MFFW,Toulouse,fr Ligue 1,24,1995,12.9,2,0,0,25,10,0,40.0,1.94,0.78,0.08,0.20,2.5,2.5,0.10,-0.5,-0.5,Matches
2184,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,MFFW,Newcastle Utd,eng Premier League,22,1997,20.7,3,0,0,46,20,0,43.5,2.22,0.97,0.07,0.15,3.3,3.3,0.07,-0.3,-0.3,Matches
2185,Théo Sainte-Luce\Theo-Sainte-Luce,fr FRA,DFFW,Nîmes,fr Ligue 1,20,1998,0.2,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
2186,Borja Sainz\Borja-Sainz,es ESP,MFFW,Alavés,es La Liga,18,2001,6.4,1,0,0,9,5,0,55.6,1.41,0.79,0.11,0.20,1.4,1.4,0.15,-0.4,-0.4,Matches
2187,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,eng Premier League,29,1990,30.1,2,0,0,23,8,1,34.8,0.77,0.27,0.09,0.25,2.6,2.6,0.11,-0.6,-0.6,Matches
2188,Bukayo Saka\Bukayo-Saka,eng ENG,DFFW,Arsenal,eng Premier League,17,2001,19.5,1,0,0,13,4,0,30.8,0.67,0.21,0.08,0.25,1.3,1.3,0.10,-0.3,-0.3,Matches
2189,Hiroki Sakai\Hiroki-Sakai,jp JPN,DF,Marseille,fr Ligue 1,29,1990,18.0,0,0,0,3,0,0,0.0,0.17,0.00,0.00,,0.1,0.1,0.03,-0.1,-0.1,Matches
2190,Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,eng Premier League,29,1990,10.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
2191,Jacopo Sala\Jacopo-Sala,it ITA,DF,SPAL,it Serie A,27,1991,9.5,0,0,0,14,2,0,14.3,1.48,0.21,0.00,0.00,0.5,0.5,0.04,-0.5,-0.5,Matches
2192,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,eng Premier League,27,1992,32.0,19,3,3,130,56,4,43.1,4.07,1.75,0.12,0.29,19.4,17.1,0.13,-0.4,-1.1,Matches
2193,Bartosz Salamon\Bartosz-Salamon,pl POL,DF,SPAL,it Serie A,28,1991,2.7,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
2194,Eddy Salcedo\Eddy-Salcedo,it ITA,FWMF,Hellas Verona,it Serie A,17,2001,7.4,1,0,0,21,7,0,33.3,2.85,0.95,0.05,0.14,1.5,1.5,0.07,-0.5,-0.5,Matches
2195,William Saliba\William-Saliba,fr FRA,DF,Saint-Étienne,fr Ligue 1,18,2001,11.0,0,0,0,3,0,0,0.0,0.27,0.00,0.00,,0.1,0.1,0.04,-0.1,-0.1,Matches
2196,Yannis Salibur\Yannis-Salibur,fr FRA,MFFW,Mallorca,es La Liga,28,1991,0.9,0,0,0,1,0,1,0.0,1.10,0.00,0.00,,0.0,0.0,0.01,0.0,0.0,Matches
2197,Romain Salin\Romain-Salin,fr FRA,GK,Rennes,fr Ligue 1,35,1984,4.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
2198,Mohammed Salisu\Mohammed-Salisu,gh GHA,DF,Valladolid,es La Liga,20,1999,30.3,1,0,0,7,1,0,14.3,0.23,0.03,0.14,1.00,1.2,1.2,0.18,-0.2,-0.2,Matches
2199,Roland Sallai\Roland-Sallai,hu HUN,MFFW,Freiburg,de Bundesliga,22,1997,12.9,2,0,0,34,12,0,35.3,2.63,0.93,0.06,0.17,2.6,2.6,0.08,-0.6,-0.6,Matches
2200,Lazar Samardzic\Lazar-Samardzic,de GER,MF,Hertha BSC,de Bundesliga,17,2002,0.4,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
2201,Diadie Samassékou\Diadie-Samassekou,ml MLI,MF,Hoffenheim,de Bundesliga,23,1996,14.6,0,0,0,7,2,0,28.6,0.48,0.14,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,Matches
2202,Mbwana Samatta\Mbwana-Samatta,tz TAN,FW,Aston Villa,eng Premier League,26,1992,10.5,1,0,0,17,3,0,17.6,1.62,0.29,0.06,0.33,2.0,2.0,0.12,-1.0,-1.0,Matches
2203,Mama Samba Baldé\Mama-Samba-Balde,gw GNB,FWMF,Dijon,fr Ligue 1,23,1995,18.6,6,0,0,50,16,0,32.0,2.68,0.86,0.12,0.38,5.2,5.2,0.10,+0.8,+0.8,Matches
2204,Junior Sambia\Junior-Sambia,fr FRA,DFMF,Montpellier,fr Ligue 1,22,1996,6.5,1,0,0,13,5,2,38.5,1.99,0.77,0.08,0.20,0.5,0.5,0.04,+0.5,+0.5,Matches
2205,Frédéric Sammaritano\Frederic-Sammaritano,fr FRA,MFFW,Dijon,fr Ligue 1,33,1986,5.8,1,0,0,9,2,3,22.2,1.56,0.35,0.11,0.50,0.5,0.5,0.06,+0.5,+0.5,Matches
2206,Fede San Emeterio\Fede-San-Emeterio,es ESP,MF,Valladolid,es La Liga,22,1997,19.5,0,0,0,3,1,0,33.3,0.15,0.05,0.00,0.00,0.1,0.0,0.01,-0.1,0.0,Matches
2207,Mikel San José\Mikel-San-Jose,es ESP,MF,Athletic Club,es La Liga,30,1989,4.0,0,0,0,6,1,0,16.7,1.50,0.25,0.00,0.00,0.6,0.6,0.10,-0.6,-0.6,Matches
2208,Antonio Sanabria\Antonio-Sanabria,py PAR,FW,Genoa,it Serie A,23,1996,14.7,4,0,0,39,18,2,46.2,2.65,1.22,0.10,0.22,2.9,2.9,0.07,+1.1,+1.1,Matches
2209,Oihan Sancet\Oihan-Sancet,es ESP,MF,Athletic Club,es La Liga,19,2000,8.2,1,0,0,9,5,0,55.6,1.09,0.61,0.11,0.20,0.8,0.8,0.09,+0.2,+0.2,Matches
2210,Renato Sanches\Renato-Sanches,pt POR,MF,Bayern Munich,de Bundesliga,21,1997,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
2211,Renato Sanches\Renato-Sanches,pt POR,MFFW,Lille,fr Ligue 1,21,1997,16.5,3,0,0,31,11,4,35.5,1.88,0.67,0.10,0.27,1.9,1.7,0.06,+1.1,+1.3,Matches
2212,Alexis Sánchez\Alexis-Sanchez,cl CHI,FW,Inter,it Serie A,30,1988,9.4,4,1,1,21,11,1,52.4,2.24,1.17,0.14,0.27,4.5,3.8,0.18,-0.5,-0.8,Matches
2213,Carlos Sánchez\Carlos-Sanchez,co COL,MFDF,West Ham,eng Premier League,33,1986,1.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
2214,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,eng Premier League,23,1996,27.0,0,0,0,8,3,0,37.5,0.30,0.11,0.00,0.00,0.8,0.8,0.10,-0.8,-0.8,Matches
2215,Germán Sánchez\German-Sanchez,es ESP,DF,Granada,es La Liga,32,1986,25.5,2,0,0,10,3,0,30.0,0.39,0.12,0.20,0.67,1.5,1.5,0.15,+0.5,+0.5,Matches
2216,Javi Sánchez\Javi-Sanchez,es ESP,DF,Valladolid,es La Liga,22,1997,5.5,0,0,0,3,0,0,0.0,0.54,0.00,0.00,,0.3,0.3,0.11,-0.3,-0.3,Matches
2217,Manuel Sánchez\Manuel-Sanchez,es ESP,DF,Atlético Madrid,es La Liga,18,2000,3.6,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
2218,Víctor Sánchez\Victor-Sanchez,es ESP,MFDF,Espanyol,es La Liga,31,1987,18.8,0,0,0,10,1,1,10.0,0.53,0.05,0.00,0.00,0.3,0.3,0.03,-0.3,-0.3,Matches
2219,Jadon Sancho\Jadon-Sancho,eng ENG,FWMF,Dortmund,de Bundesliga,19,2000,25.4,17,0,0,52,28,1,53.8,2.05,1.10,0.33,0.61,9.5,9.5,0.18,+7.5,+7.5,Matches
2220,Alex Sandro\Alex-Sandro,br BRA,DF,Juventus,it Serie A,28,1991,25.5,1,0,0,15,3,0,20.0,0.59,0.12,0.07,0.33,0.7,0.7,0.05,+0.3,+0.3,Matches
2221,Leroy Sané\Leroy-Sane,de GER,FW,Manchester City,eng Premier League,23,1996,0.1,0,0,0,2,0,1,0.0,15.00,0.00,0.00,,0.1,0.1,0.05,-0.1,-0.1,Matches
2222,Salif Sané\Salif-Sane,sn SEN,DF,Schalke 04,de Bundesliga,28,1990,12.5,2,0,0,9,3,0,33.3,0.72,0.24,0.22,0.67,0.6,0.6,0.06,+1.4,+1.4,Matches
2223,Luca Sangalli\Luca-Sangalli,es ESP,MF,Real Sociedad,es La Liga,24,1995,4.1,0,0,0,7,5,0,71.4,1.69,1.21,0.00,0.00,0.5,0.5,0.07,-0.5,-0.5,Matches
2224,Ibrahim Sangaré\Ibrahim-Sangare,ci CIV,MF,Toulouse,fr Ligue 1,21,1997,24.2,0,0,0,20,5,2,25.0,0.83,0.21,0.00,0.00,1.2,1.2,0.06,-1.2,-1.2,Matches
2225,Oier Sanjurjo\Oier-Sanjurjo,es ESP,MF,Osasuna,es La Liga,33,1986,25.8,2,0,0,17,5,0,29.4,0.66,0.19,0.12,0.40,1.9,1.9,0.11,+0.1,+0.1,Matches
2226,Yaya Sanogo\Yaya-Sanogo,fr FRA,FW,Toulouse,fr Ligue 1,26,1993,10.1,3,1,1,24,10,0,41.7,2.37,0.99,0.08,0.20,3.7,2.9,0.12,-0.7,-0.9,Matches
2227,Morgan Sanson\Morgan-Sanson,fr FRA,MF,Marseille,fr Ligue 1,24,1994,24.1,5,0,0,38,12,0,31.6,1.57,0.50,0.13,0.42,3.2,3.2,0.08,+1.8,+1.8,Matches
2228,Nicola Sansone\Nicola-Sansone,it ITA,FWMF,Bologna,it Serie A,27,1991,23.7,4,3,4,71,19,6,26.8,2.99,0.80,0.01,0.05,8.2,5.2,0.07,-4.2,-4.2,Matches
2229,Baptiste Santamaria\Baptiste-Santamaria,fr FRA,MF,Angers,fr Ligue 1,24,1995,27.8,1,0,0,38,11,0,28.9,1.37,0.40,0.03,0.09,1.3,1.3,0.03,-0.3,-0.3,Matches
2230,Federico Santander\Federico-Santander,py PAR,FW,Bologna,it Serie A,28,1991,8.1,1,1,1,22,5,1,22.7,2.73,0.62,0.00,0.00,3.2,2.4,0.11,-2.2,-2.4,Matches
2231,Davide Santon\Davide-Santon,it ITA,DF,Roma,it Serie A,28,1991,6.5,0,0,0,2,1,0,50.0,0.31,0.15,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1,Matches
2232,Samir Santos\Samir-Santos,br BRA,DF,Udinese,it Serie A,24,1994,15.2,0,0,0,3,2,0,66.7,0.20,0.13,0.00,0.00,0.3,0.3,0.10,-0.3,-0.3,Matches
2233,Riccardo Saponara\Riccardo-Saponara,it ITA,MFFW,Genoa,it Serie A,27,1991,1.9,0,0,0,5,0,0,0.0,2.68,0.00,0.00,,0.3,0.3,0.06,-0.3,-0.3,Matches
2234,Riccardo Saponara\Riccardo-Saponara,it ITA,MFFW,Lecce,it Serie A,27,1991,9.4,2,0,0,24,8,0,33.3,2.54,0.85,0.08,0.25,2.1,2.1,0.09,-0.1,-0.1,Matches
2235,Ivan Šaponjić\Ivan-Saponjic,rs SRB,FWDF,Atlético Madrid,es La Liga,21,1997,0.1,0,0,0,1,0,0,0.0,15.00,0.00,0.00,,0.2,0.2,0.19,-0.2,-0.2,Matches
2236,Pablo Sarabia\Pablo-Sarabia,es ESP,FWMF,Paris S-G,fr Ligue 1,27,1992,12.9,4,0,0,32,10,0,31.3,2.47,0.77,0.13,0.40,4.1,4.1,0.13,-0.1,-0.1,Matches
2237,Marcelo Saracchi\Marcelo-Saracchi,uy URU,DF,RB Leipzig,de Bundesliga,21,1998,2.0,1,0,0,3,1,0,33.3,1.51,0.50,0.33,1.00,0.4,0.4,0.14,+0.6,+0.6,Matches
2238,Josh Sargent\Josh-Sargent,us USA,FW,Werder Bremen,de Bundesliga,19,2000,15.7,4,0,0,28,12,0,42.9,1.78,0.76,0.14,0.33,4.3,4.3,0.15,-0.3,-0.3,Matches
2239,Bouna Sarr\Bouna-Sarr,gn GUI,DFFW,Marseille,fr Ligue 1,27,1992,24.0,1,0,0,28,4,1,14.3,1.16,0.17,0.04,0.25,2.0,2.0,0.07,-1.0,-1.0,Matches
2240,Ismaila Sarr\Ismaila-Sarr,sn SEN,FWMF,Watford,eng Premier League,21,1998,22.5,5,0,0,44,13,0,29.5,1.95,0.58,0.11,0.38,5.6,5.6,0.13,-0.6,-0.6,Matches
2241,Malang Sarr\Malang-Sarr,fr FRA,DF,Nice,fr Ligue 1,20,1999,16.2,1,0,0,4,1,0,25.0,0.25,0.06,0.25,1.00,0.2,0.2,0.05,+0.8,+0.8,Matches
2242,Sidy Sarr\Sidy-Sarr,sn SEN,MF,Nîmes,fr Ligue 1,23,1996,12.9,0,0,0,20,6,2,30.0,1.55,0.46,0.00,0.00,1.3,1.3,0.07,-1.3,-1.3,Matches
2243,Joan Sastre Vanrell\Joan-Sastre-Vanrell,es ESP,DF,Mallorca,es La Liga,22,1997,15.1,0,0,0,16,1,1,6.3,1.06,0.07,0.00,0.00,0.5,0.5,0.03,-0.5,-0.5,Matches
2244,Téji Savanier\Teji-Savanier,fr FRA,MF,Montpellier,fr Ligue 1,27,1991,16.9,6,2,2,29,7,7,24.1,1.71,0.41,0.14,0.57,2.7,1.2,0.04,+3.3,+2.8,Matches
2245,Stefan Savić\Stefan-Savic,me MNE,DF,Atlético Madrid,es La Liga,28,1991,22.0,0,0,0,2,1,0,50.0,0.09,0.05,0.00,0.00,0.1,0.1,0.05,-0.1,-0.1,Matches
2246,Fabian Schär\Fabian-Schar,ch SUI,DFMF,Newcastle Utd,eng Premier League,27,1991,18.6,2,0,0,19,6,1,31.6,1.02,0.32,0.11,0.33,1.2,1.2,0.06,+0.8,+0.8,Matches
2247,Louis Schaub\Louis-Schaub,at AUT,MF,Köln,de Bundesliga,24,1994,6.9,1,0,0,9,5,0,55.6,1.30,0.72,0.11,0.20,0.6,0.6,0.07,+0.4,+0.4,Matches
2248,Ezequiel Schelotto\Ezequiel-Schelotto,it ITA,DF,Brighton,eng Premier League,30,1989,4.0,0,0,0,5,1,0,20.0,1.25,0.25,0.00,0.00,0.3,0.3,0.06,-0.3,-0.3,Matches
2249,Patrik Schick\Patrik-Schick,cz CZE,FW,RB Leipzig,de Bundesliga,23,1996,14.4,10,0,0,49,18,1,36.7,3.40,1.25,0.20,0.56,6.2,6.2,0.13,+3.8,+3.8,Matches
2250,Julian Schieber\Julian-Schieber,de GER,FW,Augsburg,de Bundesliga,30,1989,0.5,0,0,0,1,1,0,100.0,2.09,2.09,0.00,0.00,0.0,0.0,0.04,0.0,0.0,Matches
2251,Kingsley Schindler\Kingsley-Schindler,de GER,FWMF,Köln,de Bundesliga,26,1993,9.4,0,0,0,14,3,0,21.4,1.48,0.32,0.00,0.00,0.9,0.9,0.06,-0.9,-0.9,Matches
2252,Xaver Schlager\Xaver-Schlager,at AUT,MF,Wolfsburg,de Bundesliga,21,1997,19.1,1,0,0,32,8,0,25.0,1.68,0.42,0.03,0.13,1.6,1.6,0.05,-0.6,-0.6,Matches
2253,Keven Schlotterbeck\Keven-Schlotterbeck,de GER,DF,Union Berlin,de Bundesliga,22,1997,21.5,0,0,0,10,2,0,20.0,0.46,0.09,0.00,0.00,0.5,0.5,0.05,-0.5,-0.5,Matches
2254,Nico Schlotterbeck\Nico-Schlotterbeck,de GER,DF,Freiburg,de Bundesliga,19,1999,4.1,0,0,0,3,1,0,33.3,0.72,0.24,0.00,0.00,0.1,0.1,0.05,-0.1,-0.1,Matches
2255,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MFDF,Crystal Palace,eng Premier League,26,1992,11.5,3,0,0,18,9,0,50.0,1.56,0.78,0.17,0.33,1.9,1.9,0.10,+1.1,+1.1,Matches
2256,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,eng Premier League,32,1986,38.0,0,0,0,1,0,1,0.0,0.03,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
2257,Marcel Schmelzer\Marcel-Schmelzer,de GER,DF,Dortmund,de Bundesliga,31,1988,0.7,1,0,0,2,1,0,50.0,2.73,1.36,0.50,1.00,0.6,0.6,0.28,+0.4,+0.4,Matches
2258,Jonathan Schmid\Jonathan-Schmid,fr FRA,DF,Freiburg,de Bundesliga,29,1990,31.5,5,0,0,43,16,12,37.2,1.36,0.51,0.12,0.31,3.1,3.1,0.07,+1.9,+1.9,Matches
2259,Manuel Schmiedebach\Manuel-Schmiedebach,de GER,MF,Union Berlin,de Bundesliga,30,1988,2.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
2260,Benno Schmitz\Benno-Schmitz,de GER,DF,Köln,de Bundesliga,24,1994,12.9,0,0,0,2,0,0,0.0,0.16,0.00,0.00,,0.1,0.1,0.06,-0.1,-0.1,Matches
2261,Morgan Schneiderlin\Morgan-Schneiderlin,fr FRA,MF,Everton,eng Premier League,29,1989,11.1,0,0,0,6,0,0,0.0,0.54,0.00,0.00,,0.3,0.3,0.06,-0.3,-0.3,Matches
2262,Lasse Schöne\Lasse-Schone,dk DEN,MF,Genoa,it Serie A,33,1986,26.2,2,0,1,34,9,15,26.5,1.30,0.34,0.06,0.22,2.9,2.1,0.06,-0.9,-0.1,Matches
2263,Sebastian Schonlau\Sebastian-Schonlau,de GER,DF,Paderborn 07,de Bundesliga,24,1994,23.0,2,0,0,11,4,0,36.4,0.48,0.17,0.18,0.50,1.2,1.2,0.11,+0.8,+0.8,Matches
2264,Alessandro Schöpf\Alessandro-Schopf,at AUT,MF,Schalke 04,de Bundesliga,25,1994,15.9,0,0,0,14,3,0,21.4,0.88,0.19,0.00,0.00,1.2,1.2,0.08,-1.2,-1.2,Matches
2265,Jerdy Schouten\Jerdy-Schouten,nl NED,MF,Bologna,it Serie A,22,1997,10.9,0,0,0,7,2,0,28.6,0.64,0.18,0.00,0.00,0.2,0.2,0.02,-0.2,-0.2,Matches
2266,Markus Schubert\Markus-Schubert,de GER,GK,Schalke 04,de Bundesliga,21,1998,8.2,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
2267,Nico Schulz\Nico-Schulz,de GER,DF,Dortmund,de Bundesliga,26,1993,6.6,1,0,0,6,1,0,16.7,0.91,0.15,0.17,1.00,0.4,0.4,0.07,+0.6,+0.6,Matches
2268,Alexander Schwolow\Alexander-Schwolow,de GER,GK,Freiburg,de Bundesliga,27,1992,23.2,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
2269,Matteo Scozzarella\Matteo-Scozzarella,it ITA,MF,Parma,it Serie A,31,1988,10.2,0,0,0,4,1,1,25.0,0.39,0.10,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1,Matches
2270,Aleksandar Sedlar\Aleksandar-Sedlar,rs SRB,DF,Mallorca,es La Liga,27,1991,9.0,0,0,0,1,1,0,100.0,0.11,0.11,0.00,0.00,0.0,0.0,0.02,0.0,0.0,Matches
2271,Davie Selke\Davie-Selke,de GER,FW,Hertha BSC,de Bundesliga,24,1995,10.7,1,0,0,19,3,0,15.8,1.78,0.28,0.05,0.33,2.6,2.6,0.14,-1.6,-1.6,Matches
2272,Davie Selke\Davie-Selke,de GER,FW,Werder Bremen,de Bundesliga,24,1995,5.1,0,0,0,13,5,0,38.5,2.53,0.97,0.00,0.00,1.4,1.4,0.10,-1.4,-1.4,Matches
2273,Matz Sels\Matz-Sels,be BEL,GK,Strasbourg,fr Ligue 1,27,1992,27.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
2274,Ken Sema\Ken-Sema,se SWE,DF,Udinese,it Serie A,25,1993,25.3,2,0,0,16,4,1,25.0,0.63,0.16,0.13,0.50,0.5,0.5,0.03,+1.5,+1.5,Matches
2275,Nélson Semedo\Nelson-Semedo,pt POR,DF,Barcelona,es La Liga,25,1993,23.3,1,0,0,8,2,0,25.0,0.34,0.09,0.13,0.50,0.9,0.9,0.12,+0.1,+0.1,Matches
2276,Alessandro Semprini\Alessandro-Semprini,it ITA,DF,Brescia,it Serie A,21,1998,6.5,1,0,0,2,1,0,50.0,0.31,0.15,0.50,1.00,0.8,0.8,0.38,+0.2,+0.2,Matches
2277,Josep Señé\Josep-Sene,es ESP,MF,Mallorca,es La Liga,27,1991,1.7,0,0,0,1,1,0,100.0,0.60,0.60,0.00,0.00,0.1,0.1,0.10,-0.1,-0.1,Matches
2278,Stefano Sensi\Stefano-Sensi,it ITA,MFFW,Inter,it Serie A,23,1995,8.0,3,0,0,29,10,4,34.5,3.61,1.24,0.10,0.30,1.7,1.7,0.06,+1.3,+1.3,Matches
2279,Luigi Sepe\Luigi-Sepe,it ITA,GK,Parma,it Serie A,28,1991,32.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
2280,Suat Serdar\Suat-Serdar,de GER,MF,Schalke 04,de Bundesliga,22,1997,17.8,7,0,0,37,15,0,40.5,2.08,0.84,0.19,0.47,2.8,2.8,0.08,+4.2,+4.2,Matches
2281,Ryan Sessegnon\Ryan-Sessegnon,eng ENG,DF,Tottenham,eng Premier League,19,2000,3.8,0,0,0,1,0,0,0.0,0.26,0.00,0.00,,0.1,0.1,0.11,-0.1,-0.1,Matches
2282,Salva Sevilla\Salva-Sevilla,es ESP,MF,Mallorca,es La Liga,35,1984,28.5,5,2,3,31,11,13,35.5,1.09,0.39,0.10,0.27,3.8,1.5,0.05,+1.2,+1.5,Matches
2283,Yevhen Shakhov\Yevhen-Shakhov,ua UKR,MFFW,Lecce,it Serie A,28,1990,10.7,1,0,0,10,3,0,30.0,0.93,0.28,0.10,0.33,0.8,0.8,0.08,+0.2,+0.2,Matches
2284,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,FW,Liverpool,eng Premier League,27,1991,2.1,1,0,0,4,1,0,25.0,1.95,0.49,0.25,1.00,0.5,0.5,0.12,+0.5,+0.5,Matches
2285,Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,eng Premier League,33,1986,11.7,3,0,0,14,5,0,35.7,1.20,0.43,0.21,0.60,2.6,2.6,0.18,+0.4,+0.4,Matches
2286,Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,eng Premier League,24,1995,19.3,0,0,0,10,5,0,50.0,0.52,0.26,0.00,0.00,0.5,0.5,0.05,-0.5,-0.5,Matches
2287,Khiry Shelton\Khiry-Shelton,us USA,FWMF,Paderborn 07,de Bundesliga,26,1993,0.4,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
2288,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,eng Premier League,27,1992,23.5,6,0,0,45,14,8,31.1,1.91,0.59,0.13,0.43,2.7,2.7,0.06,+3.3,+3.3,Matches
2289,Gen Shoji\Gen-Shoji,jp JPN,DF,Toulouse,fr Ligue 1,26,1992,0.5,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
2290,Djibril Sidibé\Djibril-Sidibe,fr FRA,DF,Everton,eng Premier League,27,1992,20.3,0,0,0,12,3,0,25.0,0.59,0.15,0.00,0.00,0.4,0.4,0.03,-0.4,-0.4,Matches
2291,Kalidou Sidibé\Kalidou-Sidibe,fr FRA,MF,Toulouse,fr Ligue 1,20,1999,1.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
2292,Sidnei\Sidnei,br BRA,DF,Betis,es La Liga,29,1989,13.1,1,0,0,5,2,0,40.0,0.38,0.15,0.20,0.50,0.4,0.4,0.09,+0.6,+0.6,Matches
2293,Theoson Siebatcheu\Theoson-Siebatcheu,fr FRA,FW,Rennes,fr Ligue 1,23,1996,4.9,0,0,0,10,1,0,10.0,2.05,0.20,0.00,0.00,1.0,1.0,0.10,-1.0,-1.0,Matches
2294,Kaj Sierhuis\Kaj-Sierhuis,nl NED,FW,Reims,fr Ligue 1,21,1998,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
2295,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,eng Premier League,29,1989,28.4,2,1,1,45,12,5,26.7,1.58,0.42,0.02,0.08,4.2,3.4,0.08,-2.2,-2.4,Matches
2296,Luca Siligardi\Luca-Siligardi,it ITA,FWMF,Parma,it Serie A,31,1988,3.2,0,0,0,8,2,0,25.0,2.51,0.63,0.00,0.00,0.4,0.4,0.05,-0.4,-0.4,Matches
2297,Adrien Silva\Adrien-Silva,pt POR,MF,Monaco,fr Ligue 1,30,1989,13.6,0,0,0,14,3,4,21.4,1.03,0.22,0.00,0.00,0.5,0.5,0.04,-0.5,-0.5,Matches
2298,André Silva\Andre-Silva,pt POR,FW,Milan,it Serie A,23,1995,0.7,0,0,0,2,0,0,0.0,3.00,0.00,0.00,,0.3,0.3,0.16,-0.3,-0.3,Matches
2299,André Silva\Andre-Silva,pt POR,FW,Eint Frankfurt,de Bundesliga,23,1995,17.5,12,1,1,54,22,0,40.7,3.09,1.26,0.20,0.50,10.6,9.8,0.18,+1.4,+1.2,Matches
2300,Bernardo Silva\Bernardo-Silva,pt POR,FWMF,Manchester City,eng Premier League,24,1994,22.6,6,0,0,49,15,0,30.6,2.17,0.67,0.12,0.40,6.5,6.5,0.13,-0.5,-0.5,Matches
2301,David Silva\David-Silva,es ESP,MF,Manchester City,eng Premier League,33,1986,20.3,6,0,0,46,17,5,37.0,2.27,0.84,0.13,0.35,6.4,6.4,0.14,-0.4,-0.4,Matches
2302,Gabriel Silva\Gabriel-Silva,br BRA,DF,Saint-Étienne,fr Ligue 1,28,1991,2.6,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
2303,Jonathan Silva\Jonathan-Silva,ar ARG,DF,Leganés,es La Liga,25,1994,30.9,1,0,0,21,3,3,14.3,0.68,0.10,0.05,0.33,1.5,1.5,0.07,-0.5,-0.5,Matches
2304,Matheus Pereira da Silva\Matheus-Pereira-da-Silva,br BRA,MFFW,Dijon,fr Ligue 1,21,1998,5.2,0,0,0,11,3,0,27.3,2.13,0.58,0.00,0.00,0.6,0.6,0.05,-0.6,-0.6,Matches
2305,Rui Silva\Rui-Silva,pt POR,GK,Granada,es La Liga,25,1994,35.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
